Omega_over_gamma,Delta_over_gamma,k,alpha_over_gamma,max_ratio_absG_over_abslam,y_at_max_ratio,min_abs_Fk_on_boundary,y_at_min_abs_Fk
0.25,0.25,9,0.11407774682698077,24.289793179211493,0.0,0.7696605528174251,1.85
0.25,0.25,10,0.11407774682698077,26.68385206691065,0.0,0.8435310561073692,2.075
0.25,0.25,11,0.11407774682698077,28.915267282149603,0.0,0.9156115589683238,2.3000000000000003
0.25,0.25,12,0.11407774682698077,31.030078853541013,0.0,0.9860147350476212,2.5250000000000004
0.25,0.26,3,0.11106291116005085,5.70434043477884,0.0,0.3435983253970939,0.5750000000000001
0.25,0.26,4,0.11106291116005085,9.005110446534305,0.0,0.40752177777847653,0.775
0.25,0.26,5,0.11106291116005085,12.5264145514981,0.0,0.47558530411995353,0.9750000000000001
0.25,0.26,6,0.11106291116005085,15.993119628989119,0.0,0.5488089697506434,1.175
0.25,0.26,7,0.11106291116005085,19.239812380509544,0.0,0.6245046578263059,1.4000000000000001
0.25,0.26,8,0.11106291116005085,22.20774797109391,0.0,0.7011247072253446,1.625
0.25,0.26,9,0.11106291116005085,24.90797743854845,0.0,0.7768406454010854,1.8250000000000002
0.25,0.26,10,0.11106291116005085,27.384143060696076,0.0,0.8509160774292654,2.0500000000000003
0.25,0.26,11,0.11106291116005085,29.688151368441613,0.0,0.9232031635786846,2.3000000000000003
0.25,0.26,12,0.11106291116005085,31.868085907357283,0.0,0.9937800010790163,2.5250000000000004
0.25,0.27,3,0.10815217646025424,5.748483933624151,0.0,0.3509129887860919,0.5750000000000001
0.25,0.27,4,0.10815217646025424,9.11377187118285,0.0,0.4146689839835499,0.775
0.25,0.27,5,0.10815217646025424,12.7285628386829,0.0,0.4824141322080351,0.9750000000000001
0.25,0.27,6,0.10815217646025424,16.305739804730116,0.0,0.5554850033982376,1.175
0.25,0.27,7,0.10815217646025424,19.666093028602177,0.0,0.6312068479174482,1.4000000000000001
0.25,0.27,8,0.10815217646025424,22.741151760101282,0.0,0.7079816013294816,1.625
0.25,0.27,9,0.10815217646025424,25.537572363596933,0.0,0.783862444166624,1.8250000000000002
0.25,0.27,10,0.10815217646025424,28.09846698359772,0.0,0.8581524829580937,2.0500000000000003
0.25,0.27,11,0.10815217646025424,30.477190261598448,0.0,0.9306728244663476,2.3000000000000003
0.25,0.27,12,0.10815217646025424,32.723930707548,0.0,1.001424231963247,2.5250000000000004
0.25,0.28,3,0.10534094912529758,5.7916772242087955,0.0,0.35817148519486025,0.5750000000000001
0.25,0.28,4,0.10534094912529758,9.22117461270733,0.0,0.4217585536693505,0.775
0.25,0.28,5,0.10534094912529758,12.930249064151589,0.0,0.4891595980382551,0.9750000000000001
0.25,0.28,6,0.10534094912529758,16.62006606761864,0.0,0.5620571739626192,1.175
0.25,0.28,7,0.10534094912529758,20.09720575778304,0.0,0.6377942448440613,1.4000000000000001
0.25,0.28,8,0.10534094912529758,23.282808199230363,0.0,0.7147201327340199,1.625
0.25,0.28,9,0.10534094912529758,26.17862064310574,0.0,0.7907634777170397,1.8250000000000002
0.25,0.28,10,0.10534094912529758,28.826974329866026,0.0,0.8652695453012682,2.0500000000000003
0.25,0.28,11,0.10534094912529758,31.2826234984748,0.0,0.9380274899200767,2.3000000000000003
0.25,0.28,12,0.10534094912529758,33.597919713369436,0.0,1.0089545898990813,2.5250000000000004
0.25,0.29,3,0.10262491186020757,5.833904458658849,0.0,0.36537756809561517,0.5750000000000001
0.25,0.29,4,0.10262491186020757,9.327239417874255,0.0,0.4287972475694149,0.775
0.25,0.29,5,0.10262491186020757,13.131310493530039,0.0,0.49582872381869536,0.9750000000000001
0.25,0.29,6,0.10262491186020757,16.935892389119356,0.0,0.5685321521231504,1.175
0.25,0.29,7,0.10262491186020757,20.532974458829013,0.0,0.6442730932835772,1.4000000000000001
0.25,0.29,8,0.10262491186020757,23.83263052305183,0.0,0.7213463635617232,1.625
0.25,0.29,9,0.10262491186020757,26.831150045852386,0.0,0.7975499114517305,1.8250000000000002
0.25,0.29,10,0.10262491186020757,29.56980390763802,0.0,0.8722735493342885,2.0500000000000003
0.25,0.29,11,0.10262491186020757,32.104682385285074,0.0,0.9452735688392527,2.3000000000000003
0.25,0.29,12,0.10262491186020757,34.490354028000304,0.0,1.0163776899997286,2.5250000000000004
0.25,0.3,3,0.10000000000000006,5.875151691593207,0.0,0.3725344619291621,0.5750000000000001
0.25,0.3,4,0.10000000000000006,9.4318896531028,0.0,0.43579140358682444,0.775
0.25,0.3,5,0.10000000000000006,13.331583391872597,0.0,0.5024281339028502,0.9750000000000001
0.25,0.3,6,0.10000000000000006,17.25300453718216,0.0,0.5749161932574074,1.175
0.25,0.3,7,0.10000000000000006,20.973208577254564,0.0,0.6506492007108982,1.4000000000000001
0.25,0.3,8,0.10000000000000006,24.39051522021342,0.0,0.7278658990618466,1.625
0.25,0.3,9,0.10000000000000006,27.495172968328472,0.0,0.8042274362660083,1.8250000000000002
0.25,0.3,10,0.10000000000000006,30.327082442094916,0.0,0.8791702933379908,2.0500000000000003
0.25,0.3,11,0.10000000000000006,32.94358976741476,0.0,0.9524022113543232,2.275
