side,Omega_center,Delta_center,box_status,passed,sigma_minus_diff,alpha_center,y_center,sigma_center,worst_sigma,max_diff
2,0.264895,0.0819978232203796,certified_box,True,0.0219380652741388,0.28062560068811426,0.596,0.022766954831690448,0.02276371910991522,0.0008288895575516482
1,0.2648999999999999,0.0820703195729479,certified_box,True,0.022306608478259753,0.2799488313774124,0.596,0.02334109883725634,0.022824146257509063,0.001034490358996584
2,0.2648999999999999,0.0820103195729479,certified_box,True,0.021937937327696545,0.28062861663460986,0.596,0.02276682686850246,0.02276371285256489,0.0008288895408059173
1,0.264905,0.0820828137149289,certified_box,True,0.022306209904922356,0.27995294763683803,0.596,0.023340056470030686,0.022824108806413123,0.001033846565108331
2,0.264905,0.0820228137149289,certified_box,True,0.021937816020672553,0.28063163236517963,0.596,0.022766705544732275,0.02276370443197004,0.0008288895240597214
1,0.26491,0.0820953056496754,certified_box,True,0.022305818025018163,0.2799570600430904,0.596,0.023339023634568183,0.022824078051204684,0.001033205609550022
2,0.26491,0.0820353056496754,certified_box,True,0.02193770135274508,0.28063464788030945,0.596,0.02276659086005811,0.022763666739925418,0.0008288895073130294
1,0.2649149999999999,0.0821077953771874,certified_box,True,0.022305432819984743,0.27996116863600484,0.596,0.02333800029802749,0.022824053970199057,0.0010325674780427446
2,0.2649149999999999,0.0820477953771874,certified_box,True,0.02193759332387584,0.2806376631798117,0.596,0.022766482814441588,0.022763635686340468,0.0008288894905657485
1,0.26492,0.0821202828985825,certified_box,True,0.02230505429305268,0.27996527343112676,0.596,0.02333698644799528,0.022824022670282284,0.0010319321549426004
2,0.26492,0.0820602828985825,certified_box,True,0.02193749193392407,0.2806406782637238,0.596,0.022766381407742075,0.022763611271008552,0.0008288894738180055
1,0.2649249999999999,0.0821327682149783,certified_box,True,0.022304682447470213,0.2799693744438789,0.596,0.023335982072149836,0.0228239673463808,0.001031299624679625
2,0.2649249999999999,0.0820727682149782,certified_box,True,0.021937397182743384,0.28064369313208265,0.596,0.022766286639813182,0.022763593493715498,0.0008288894570697979
1,0.26493,0.0821452513274923,certified_box,True,0.022304317286404335,0.27997347168961295,0.596,0.02333498715822009,0.022823918699896105,0.0010306698718157573
2,0.26493,0.0820852513274923,certified_box,True,0.021937309070182154,0.2806467077849257,0.596,0.022766198510503155,0.02276358235424107,0.0008288894403210014
1,0.264935,0.0821577322372421,certified_box,True,0.022303958813056548,0.27997756518351535,0.596,0.023334001694062745,0.02282387673162632,0.0010300428810061982
2,0.264935,0.0820977322372421,certified_box,True,0.021937227596082166,0.2806497222222897,0.596,0.02276611701965387,0.02276357785236034,0.0008288894235717033
1,0.26494,0.0821702109453454,certified_box,True,0.02230360703059865,0.2799816549407125,0.596,0.02333302566757568,0.022823841442373576,0.0010294186369770256
2,0.26494,0.0821102109453454,certified_box,True,0.021937152760279157,0.2806527364442135,0.596,0.022766042167100983,0.02276356446451767,0.0008288894068218241
1,0.264945,0.0821826874529197,certified_box,True,0.022303261942159095,0.279985740976212,0.596,0.0233320590667456,0.022823812832906878,0.0010287971245865053
2,0.264945,0.0821226874529197,certified_box,True,0.02193708456260228,0.2806557504507358,0.596,0.022765973952673768,0.02276352852831067,0.0008288893900714884
1,0.2649499999999999,0.0821951617599651,certified_box,True,0.022302923529435168,0.2799898233287337,0.596,0.02333110185959758,0.022823790882017806,0.0010281783301624113
2,0.2649499999999999,0.0821351617599651,certified_box,True,0.02193702300297447,0.2806587642416674,0.596,0.022765912376295078,0.022763499230189617,0.0008288893733206079
1,0.264955,0.0822076338687166,certified_box,True,0.02230259181702735,0.2799939019891981,0.596,0.02333015405436615,0.022823755004011684,0.0010275622373387993
2,0.264955,0.0821476338687166,certified_box,True,0.021936968081115806,0.28066177781727336,0.596,0.02276585743768517,0.022763476569847573,0.0008288893565693627
1,0.26496,0.0822201037791744,certified_box,True,0.02230226678667288,0.27999797699603746,0.596,0.023329215619297627,0.02282370180247762,0.0010269488326247454
2,0.26496,0.0821601037791744,certified_box,True,0.02193691979693719,0.2806647911773656,0.596,0.022765809136754613,0.022763460547167012,0.0008288893398174242
1,0.264965,0.0822325714935734,certified_box,True,0.02230194846286858,0.2800020483400199,0.596,0.023328286562734623,0.022823655285115346,0.0010263380998660426
2,0.264965,0.0821725714935734,certified_box,True,0.021936878150146517,0.28066780432220984,0.596,0.022765767473211546,0.022763451161828367,0.0008288893230650302
1,0.26497,0.0822450370130315,certified_box,True,0.022301636848682367,0.28000611603561365,0.596,0.023327366873067447,0.02282361545279154,0.0010257300243850802
2,0.26497,0.0821850370130315,certified_box,True,0.02193684314054541,0.2806708172518438,0.596,0.022765732446857596,0.02276344841360605,0.0008288893063121852
1,0.2649749999999999,0.0822575003375485,certified_box,True,0.022301331925868847,0.28001018012088097,0.596,0.023326456518823886,0.022823582284507624,0.0010251245929550389
2,0.2649749999999999,0.0821975003375485,certified_box,True,0.021936814768026554,0.28067382996608037,0.596,0.02276570405758526,0.0227634300652314,0.0008288892895587048
1,0.26498,0.0822699614682421,certified_box,True,0.02230103369754854,0.28001424061001545,0.596,0.023325555488605456,0.022823555781231727,0.0010245217910569149
2,0.26498,0.0822099614682421,certified_box,True,0.0219367930323779,0.28067684246495994,0.596,0.022765682305182628,0.02276339588324388,0.0008288892728047306
1,0.2649849999999999,0.0822824204073474,certified_box,True,0.022300742188020903,0.28001829749347623,0.596,0.023324663790974618,0.022823535965689826,0.001023921602953714
2,0.2649849999999999,0.0822224204073474,certified_box,True,0.02193677793328637,0.28067985474874674,0.596,0.022765667189336775,0.02276336833877014,0.0008288892560504076
1,0.26499,0.0822948771548643,certified_box,True,0.022300457379091976,0.2800223508089345,0.596,0.023323781394758165,0.022823495502087572,0.0010233240156661888
2,0.26499,0.0822348771548643,certified_box,True,0.02193676947062573,0.2806828668172544,0.596,0.022765658709921165,0.0227633474316949,0.0008288892392954327
1,0.264995,0.0823073317113519,certified_box,True,0.022300179263279707,0.2800264005820253,0.596,0.023322908278900496,0.02282344441909185,0.0010227290156207879
2,0.264995,0.0822473317113519,certified_box,True,0.021936767644217026,0.2806858786704097,0.596,0.022765656866756905,0.022763333161849555,0.0008288892225398777
1,0.265,0.082319784079045,certified_box,True,0.022299907864757572,0.2800304468030054,0.596,0.023322044452105034,0.022823400016820466,0.0010221365873474622
2,0.265,0.082259784079045,certified_box,True,0.021936772453727424,0.2806888903084791,0.596,0.022765661659511324,0.022763325528913435,0.000828889205783899
1,0.265005,0.0823322342585027,certified_box,True,0.022299643175977088,0.280034489497325,0.596,0.023321189893451787,0.02282336228542245,0.0010215467174746978
2,0.265005,0.0822722342585027,certified_box,True,0.021936783898966864,0.28069190173138764,0.596,0.022765673087994334,0.022763324532704778,0.0008288891890274693
1,0.2650099999999999,0.0823446822508424,certified_box,True,0.022299385199954565,0.28003852867857937,0.596,0.02332034459198661,0.022823331225927203,0.0010209593920320458
2,0.2650099999999999,0.0822846822508424,certified_box,True,0.021936801979687993,0.2806949129391776,0.596,0.022765691151958395,0.02276330123039531,0.0008288891722704015
1,0.265015,0.082357128056623,certified_box,True,0.02229913392917062,0.28004256437200403,0.596,0.023319508526950933,0.022823306828568275,0.0010203745977803106
2,0.265015,0.082297128056623,certified_box,True,0.021936826695687157,0.28069792393177573,0.596,0.022765715851200043,0.022763268800841015,0.0008288891555128855
1,0.26502,0.0823695716780796,certified_box,True,0.02229888938760583,0.2800465965675424,0.596,0.023318681707272717,0.022823289115928264,0.001019792319666884
2,0.26502,0.0823095716780796,certified_box,True,0.021936858046611614,0.2807009347094469,0.596,0.022765747185366465,0.02276324300836791,0.0008288891387548509
1,0.265025,0.0823820131146535,certified_box,True,0.02229865154678857,0.28005062531357944,0.596,0.02331786409269457,0.022823244043870122,0.0010192125459060014
2,0.265025,0.0823220131146535,certified_box,True,0.021936896032341002,0.28070394527189463,0.596,0.02276578515433733,0.022763223852906557,0.0008288891219963285
1,0.26503,0.0823944523685798,certified_box,True,0.02229842043064212,0.28005465059990964,0.596,0.02331705569225032,0.022823195070566574,0.0010186352616081997
2,0.26503,0.0823344523685798,certified_box,True,0.021936940652509753,0.280706955619385,0.596,0.022765829757747068,0.022763211334142698,0.0008288891052373136
