Omega_lo,Omega_hi,Delta_lo,Delta_hi,alpha_upper_gap3,sigma_center_min,y_at_min,pert_bound,k4_gt_k3_margin,passed
0.3200000000000001,0.3300000000000001,0.05,0.060000000000000005,0.32610243576740905,0.04363558990254035,-1.0166581283794471,0.05694430213965783,-0.013308712237117479,False
0.3200000000000001,0.3300000000000001,0.060000000000000005,0.07,0.3266344682037529,0.043539054694029106,1.0168738859858681,0.0569478980997644,-0.013408843405735296,False
0.3200000000000001,0.3300000000000001,0.07,0.08000000000000002,0.32726248153329934,0.04342075020287988,-1.0171227801991272,0.05695204633665174,-0.01353129613377186,False
0.3200000000000001,0.3300000000000001,0.08000000000000002,0.09000000000000001,0.3279860873932355,0.04328090782052933,-1.0174047866999647,0.05695674644499957,-0.013675838624470235,False
0.3200000000000001,0.3300000000000001,0.09000000000000001,0.1,0.3288048282761595,0.04311979860951382,1.0177198779624987,0.056961997966041594,-0.013842199356527772,False
0.3200000000000001,0.3300000000000001,0.1,0.11000000000000001,0.3297181735168367,0.042937734405704905,-1.0180680232676025,0.05696780038779359,-0.014030065982088682,False
0.3200000000000001,0.3300000000000001,0.11000000000000001,0.12000000000000001,0.33072551476148593,0.04273506909425207,-1.0184491887178275,0.05697415314529672,-0.014239084051044647,False
0.3300000000000001,0.34000000000000014,0.05,0.060000000000000005,0.33010414165812113,0.045497631132600976,-1.0516952743071553,0.056962827004953795,-0.01146519587235282,False
0.3300000000000001,0.34000000000000014,0.060000000000000005,0.07,0.3306178171194411,0.045406923313264264,1.0519179804053174,0.05696641903879572,-0.011559495725531457,False
0.3300000000000001,0.34000000000000014,0.07,0.08000000000000002,0.33122411347030645,0.045295857738401016,-1.052174890405583,0.056970562748476894,-0.011674705010075878,False
0.3300000000000001,0.34000000000000014,0.08000000000000002,0.09000000000000001,0.3319226335843618,0.045164691240728284,1.0524659792601376,0.0569752577300022,-0.011810566489273915,False
0.3300000000000001,0.34000000000000014,0.09000000000000001,0.1,0.332712911716143,0.045013721304313956,1.0527912186183936,0.056980503526102816,-0.01196678222178886,False
0.3300000000000001,0.34000000000000014,0.1,0.11000000000000001,0.333594410299231,0.04484328641457755,1.053150576840748,0.0569862996264634,-0.01214301321188585,False
0.3300000000000001,0.34000000000000014,0.11000000000000001,0.12000000000000001,0.3345665163382746,0.04465376647901732,1.0535440190139198,0.05699264546796631,-0.01233887898894899,False
0.34000000000000014,0.35000000000000014,0.05,0.060000000000000005,0.33415086800199306,0.04734880558814337,1.0868405586837468,0.05698188372943401,-0.009633078141290642,False
0.34000000000000014,0.35000000000000014,0.060000000000000005,0.07,0.33464896692079404,0.04726201663651477,1.0870701909260507,0.05698547173321965,-0.009723455096704879,False
0.34000000000000014,0.35000000000000014,0.07,0.08000000000000002,0.33523683467066506,0.047155945128482236,-1.0873350909448298,0.05698961079601261,-0.009833665667530377,False
0.34000000000000014,0.35000000000000014,0.08000000000000002,0.09000000000000001,0.33591406605130186,0.04703088177942005,1.0876352329710564,0.05699430051517315,-0.009963418735753099,False
0.34000000000000014,0.35000000000000014,0.09000000000000001,0.1,0.3366801874737707,0.04688716070707063,1.0879705878377415,0.05699954043496455,-0.010112379727893923,False
0.34000000000000014,0.35000000000000014,0.1,0.11000000000000001,0.3375346543948782,0.04672515925116878,1.0883411229940734,0.0570053300467821,-0.010280170795613316,False
0.34000000000000014,0.35000000000000014,0.11000000000000001,0.12000000000000001,0.3384768484319578,0.04654529779100185,-1.088746802521138,0.05701166878939287,-0.010466370998391025,False
