k,Omega_lo,Omega_hi,Delta_lo,Delta_hi,alpha_upper_lowrank,Yim_bound,outside_pad,Yscan,n_y_used,sigma_center_min,sigma_scan_lower,sigma_outside_lower,sigma_global_lower,y_at_min,param_pert,higher_rank_margin,passed
61,0.24000000000000005,0.25000000000000006,0.1,0.11000000000000001,0.14965670708681655,16.660930346172155,0.6600000000000008,17.320930346172155,801,1.0287982383363163,1.0071470754036016,0.6600000000000008,0.6600000000000008,-13.64023264761057,0.6100000000000008,0.050000000000000044,True
61,0.24000000000000005,0.25000000000000006,0.11000000000000001,0.12000000000000001,0.14591344372574266,16.915818041111695,0.6600000000000004,17.575818041111695,801,1.0325524668440011,1.0105826942926108,0.6600000000000004,0.6600000000000004,-13.665198526964343,0.6100000000000003,0.050000000000000044,True
61,0.25000000000000006,0.26000000000000006,0.05,0.060000000000000005,0.20083880462894677,16.27683015823416,0.6600000000000006,16.93683015823416,801,1.0058402812588358,0.9846692435610436,0.6600000000000006,0.6600000000000006,-14.226937332916693,0.6100000000000005,0.050000000000000044,True
61,0.25000000000000006,0.26000000000000006,0.060000000000000005,0.07,0.19421355425276243,16.42475266176024,0.6600000000000006,17.08475266176024,801,1.0120137137709146,0.9906577729437138,0.6600000000000006,0.6600000000000006,14.223056590915402,0.6100000000000005,0.050000000000000044,True
61,0.25000000000000006,0.26000000000000006,0.07,0.08000000000000002,0.1879209255028373,16.593794020657253,0.6600000000000008,17.253794020657253,801,1.0177677737416408,0.99620053121582,0.6600000000000008,0.6600000000000008,-14.234380067042233,0.6100000000000008,0.050000000000000044,True
61,0.25000000000000006,0.26000000000000006,0.08000000000000002,0.09000000000000001,0.18193271735049898,16.7833161204811,0.6600000000000004,17.4433161204811,801,1.0234994103983812,1.001695265247779,0.6600000000000004,0.6600000000000004,-14.2599109284933,0.6100000000000003,0.050000000000000044,True
61,0.25000000000000006,0.26000000000000006,0.09000000000000001,0.1,0.17622462958083657,16.992633698164635,0.6600000000000004,17.652633698164635,801,1.0288854987618095,1.006819706639103,0.6600000000000004,0.6600000000000004,-14.254501711267944,0.6100000000000003,0.050000000000000044,True
61,0.25000000000000006,0.26000000000000006,0.1,0.11000000000000001,0.17077551516457606,17.221024940461607,0.6600000000000008,17.881024940461607,801,1.0342028309646623,1.0118515497890848,0.6600000000000008,0.6600000000000008,14.26011739001813,0.6100000000000008,0.050000000000000044,True
61,0.25000000000000006,0.26000000000000006,0.11000000000000001,0.12000000000000001,0.16556680955521036,17.467741697197155,0.6600000000000004,18.127741697197155,801,1.0392008979996497,1.016541220878154,0.6600000000000004,0.6600000000000004,-14.230277232299766,0.6100000000000003,0.050000000000000044,True
61,0.26000000000000006,0.2700000000000001,0.05,0.060000000000000005,0.25942216602104534,16.871766356846006,0.6600000000000006,17.531766356846006,801,0.9775953531948202,0.9556806452487622,0.6600000000000006,0.6600000000000006,14.81434257153488,0.6100000000000005,0.050000000000000044,True
61,0.26000000000000006,0.2700000000000001,0.060000000000000005,0.07,0.25582987055970396,17.01451733079726,0.6600000000000006,17.67451733079726,801,0.9809669819844707,0.9588738353209735,0.6600000000000006,0.6600000000000006,-14.8465945578697,0.6100000000000005,0.050000000000000044,True
61,0.26000000000000006,0.2700000000000001,0.07,0.08000000000000002,0.2305772289686646,17.17775596520105,0.6600000000000008,17.83775596520105,801,1.0036700746736282,0.9813728797171275,0.6600000000000008,0.6600000000000008,14.849931841029875,0.6100000000000008,0.050000000000000044,True
61,0.26000000000000006,0.2700000000000001,0.08000000000000002,0.09000000000000001,0.2168119135214162,17.36090435432442,0.6600000000000004,18.02090435432442,801,1.0161112066192368,0.9935850761763314,0.6600000000000004,0.6600000000000004,14.822193831431836,0.6100000000000003,0.050000000000000044,True
61,0.26000000000000006,0.2700000000000001,0.09000000000000001,0.1,0.2062004133302046,17.563339659643347,0.6600000000000004,18.223339659643347,801,1.0260340077702885,1.0032548331957347,0.6600000000000004,0.6600000000000004,-14.852021822609327,0.6100000000000003,0.050000000000000044,True
61,0.26000000000000006,0.2700000000000001,0.1,0.11000000000000001,0.19724462294163458,17.784403279278195,0.6600000000000008,18.444403279278195,801,1.0343398739169474,1.0112843698178495,0.6600000000000008,0.6600000000000008,14.847744639818952,0.6100000000000008,0.050000000000000044,True
61,0.26000000000000006,0.2700000000000001,0.11000000000000001,0.12000000000000001,0.18935619396220402,18.02340977728688,0.6600000000000004,18.68340977728688,801,1.0418588842410959,1.0185046220194867,0.6600000000000004,0.6600000000000004,-14.806602248499852,0.6100000000000003,0.050000000000000044,True
