side,offset,Omega_center,Delta_center,box_status,passed,sigma_minus_diff,alpha_center,y_center,sigma_center,worst_sigma,max_diff
2,0.00256,0.264895,0.0794678232203796,certified_box,True,0.022151392877889302,0.28012382959077686,0.5954999999999999,0.022981640880410686,0.02297897592973846,0.0008302480025213834
1,0.00512,0.264895,0.0871478232203796,certified_box,True,0.04701144778045134,0.2512474751440689,0.5954999999999999,0.047848281495595994,0.0477625409694505,0.0008368337151446534
2,0.00512,0.264895,0.0769078232203796,crosses_boundary,False,,,,,,
1,0.00256,0.2648999999999999,0.0846003195729479,certified_box,True,0.0390700809695871,0.26043923408110903,0.5954999999999999,0.039913755818540037,0.03979001637206035,0.0008436748489529383
2,0.00256,0.2648999999999999,0.07948031957294789,certified_box,True,0.02215144586814325,0.2801267849438511,0.5954999999999999,0.022981693850631174,0.022978972367378843,0.0008302479824879228
1,0.00512,0.2648999999999999,0.0871603195729479,certified_box,True,0.04700759990173445,0.2512550985780676,0.5954999999999999,0.047844432820998206,0.0477587039662117,0.000836832919263761
2,0.00512,0.2648999999999999,0.0769203195729479,crosses_boundary,False,,,,,,
1,0.00256,0.264905,0.0846128137149289,certified_box,True,0.03906554185382762,0.260447684130116,0.5954999999999999,0.03990921412530305,0.039785468905515334,0.0008436722714754295
2,0.00256,0.264905,0.07949281371492889,certified_box,True,0.022151505412544504,0.2801297401001576,0.5954999999999999,0.02298175337499777,0.022978975361495586,0.0008302479624532665
1,0.00512,0.264905,0.0871728137149289,certified_box,True,0.047003755941857316,0.2512627210441324,0.5954999999999999,0.047840588064669946,0.04775484980894835,0.000836832122812634
2,0.00512,0.264905,0.0769328137149289,crosses_boundary,False,,,,,,
1,0.00256,0.26491,0.08462530564967541,certified_box,True,0.039061008279051665,0.2604561320347879,0.5954999999999999,0.0399046779702654,0.039780926999300824,0.00084366969121374
2,0.00256,0.26491,0.0795053056496754,certified_box,True,0.02215157151063611,0.2801326950601606,0.5954999999999999,0.022981819453053564,0.022978984911680395,0.0008302479424174535
1,0.00512,0.26491,0.0871853056496754,certified_box,True,0.04699991590764545,0.25127034253514213,0.5954999999999999,0.04783674723343405,0.04775099907953873,0.0008368313257885996
2,0.00512,0.26491,0.0769453056496754,crosses_boundary,False,,,,,,
1,0.00256,0.2649149999999999,0.08463779537718741,certified_box,True,0.039056480242340604,0.2604645777998189,0.5954999999999999,0.0399001473505175,0.039776380624448715,0.0008436671081768965
2,0.00256,0.2649149999999999,0.0795177953771874,certified_box,True,0.022151644162236344,0.28013564982367006,0.5954999999999999,0.022981892084616713,0.022979001017798525,0.0008302479223803698
1,0.00512,0.2649149999999999,0.0871977953771874,certified_box,True,0.04699607979720884,0.2512779630540028,0.5954999999999999,0.04783291032540222,0.04774715228099556,0.0008368305281933826
2,0.00512,0.2649149999999999,0.0769577953771874,crosses_boundary,False,,,,,,
1,0.00256,0.26492,0.08465028289858251,certified_box,True,0.03905195774503429,0.2604730214249491,0.5954999999999999,0.03989562226740195,0.03977182395595027,0.0008436645223676619
2,0.00256,0.26492,0.0795302828985825,certified_box,True,0.022151723367064047,0.2801386043907151,0.5954999999999999,0.022981971269406216,0.022979023679618227,0.0008302479023421688
1,0.00512,0.26492,0.0872102828985825,certified_box,True,0.04699224761155913,0.2512855826002807,0.5954999999999999,0.04782907734158664,0.04774330941433137,0.0008368297300275108
2,0.00512,0.26492,0.0769702828985825,crosses_boundary,False,,,,,,
1,0.00256,0.2649249999999999,0.0846627682149782,certified_box,True,0.03904744078848509,0.26048146290989915,0.5954999999999999,0.039891102722276015,0.039767272842423686,0.0008436619337909247
2,0.00256,0.2649249999999999,0.07954276821497819,certified_box,True,0.022151809124834235,0.28014155876132246,0.5954999999999999,0.022982057007137038,0.02297902161647657,0.000830247882302804
1,0.00512,0.2649249999999999,0.0872227682149782,certified_box,True,0.046988419351716965,0.25129320117353116,0.5954999999999999,0.047825248283007854,0.04773947048057356,0.0008368289312908889
2,0.00512,0.2649249999999999,0.0769827682149782,crosses_boundary,False,,,,,,
1,0.00256,0.26493,0.0846752513274923,certified_box,True,0.03904292937403392,0.2604899022544046,0.5954999999999999,0.03988658871648304,0.03976272728522427,0.0008436593424491189
2,0.00256,0.26493,0.07955525132749229,certified_box,True,0.022151901435252783,0.28014451293552306,0.5954999999999999,0.022982149297514964,0.022979013115156786,0.0008302478622621811
1,0.00512,0.26493,0.0872352513274923,certified_box,True,0.04698459501869828,0.25130081877331367,0.5954999999999999,0.047821423150682774,0.04773563548073769,0.0008368281319844887
2,0.00512,0.26493,0.0769952513274923,crosses_boundary,False,,,,,,
1,0.00256,0.264935,0.0846877322372421,certified_box,True,0.039038423503029704,0.2604983394581882,0.5954999999999999,0.03988208025137558,0.03975818728571017,0.0008436567483458778
2,0.00256,0.264935,0.07956773223724209,certified_box,True,0.022152000298021033,0.28014746691334624,0.5954999999999999,0.02298224814024139,0.022979011169981536,0.0008302478422203603
1,0.00512,0.264935,0.0872477322372421,certified_box,True,0.04698077461352227,0.25130843539918446,0.5954999999999999,0.047817601945630096,0.04773180000328022,0.0008368273321078245
2,0.00512,0.264935,0.0770077322372421,crosses_boundary,False,,,,,,
1,0.00256,0.26494,0.08470021094534541,certified_box,True,0.039033923176818835,0.26050677452097437,0.5954999999999999,0.039877577328303576,0.03975365284523736,0.0008436541514847431
2,0.00256,0.26494,0.0795802109453454,certified_box,True,0.022152105712837496,0.28015042069481966,0.5954999999999999,0.022982353535014842,0.022979015780733088,0.0008302478221773463
1,0.00512,0.26494,0.0872602109453454,certified_box,True,0.04697695813720768,0.25131605105069765,0.5954999999999999,0.04781378466886952,0.047727951275380334,0.0008368265316618414
2,0.00512,0.26494,0.0770202109453454,certified_box,True,0.022362504635441822,0.27965874456035084,0.5954999999999999,0.02319275055570454,0.023190181718308087,0.0008302459202627157
1,0.00256,0.264945,0.08471268745291971,certified_box,True,0.03902942839675114,0.26051520744248075,0.5954999999999999,0.039873079948620875,0.03974912396516361,0.0008436515518697366
2,0.00256,0.264945,0.0795926874529197,certified_box,True,0.02215221767939186,0.28015337427997333,0.5954999999999999,0.022982465481525036,0.022979026947187713,0.0008302478021331764
1,0.00512,0.264945,0.0872726874529197,certified_box,True,0.046973145590777525,0.2513236657274025,0.5954999999999999,0.04780997132142398,0.04772410648163274,0.0008368257306464505
