Omega_lo,Omega_hi,Delta_lo,Delta_hi,Omega_center,Delta_center,alpha_upper_gap3,Ymax,sigma_center_min,y_at_min,pert_bound,k4_gt_k3_margin,passed,depth
0.20750000000000002,0.21,0.10500000000000001,0.10750000000000001,0.20875,0.10625000000000001,0.2950615988863016,13.429049668535745,0.018309165741141026,0.604307235084109,0.01559543736189023,0.002713728379250796,True,2
0.20750000000000002,0.21,0.10750000000000001,0.11,0.20875,0.10875000000000001,0.2955953693021441,13.430264330980235,0.018159630245739862,-0.6043618948941116,0.015595943471241963,0.002563686774497899,True,2
0.2,0.2025,0.11,0.11249999999999999,0.20125,0.11124999999999999,0.29477299768583914,13.424594965957073,0.015784855485209828,0.5817324485248072,0.015593581235815196,0.00019127424939463164,True,2
0.2,0.2025,0.11249999999999999,0.11499999999999999,0.20125,0.11374999999999999,0.2953776454192653,13.425865893863234,0.015588077216643374,0.5817875220674065,0.015594110789109772,-6.033572466397977e-06,False,2
0.2025,0.20500000000000002,0.11,0.11249999999999999,0.20375000000000001,0.11124999999999999,0.2952084541382111,13.426871377949519,0.01635550293021229,0.593020152526103,0.015594529740812407,0.0007609731893998828,True,2
0.2025,0.20500000000000002,0.11249999999999999,0.11499999999999999,0.20375000000000001,0.11374999999999999,0.2957973107156367,13.428142090401039,0.016149591801460594,-0.5930762756593797,0.015595059204333461,0.0005545325971271324,True,2
0.2,0.2025,0.11499999999999999,0.1175,0.20125,0.11624999999999999,0.2959963652314759,13.42716462995818,0.015388029282134622,0.5818438006315194,0.015594651929149217,-0.00020662264701459473,False,2
0.2,0.2025,0.1175,0.12,0.20125,0.11875,0.2966291673877233,13.42849116617351,0.015184874692778528,-0.5819012838675182,0.015595204652572692,-0.0004103299597941635,False,2
0.2025,0.20500000000000002,0.11499999999999999,0.1175,0.20375000000000001,0.11624999999999999,0.2963998075680895,13.429440606369276,0.015939722113131036,-0.5931336267813094,0.015595600252654274,0.0003441218604767621,True,2
0.2025,0.20500000000000002,0.1175,0.12,0.20375000000000001,0.11875,0.2970159515968907,13.430766917789915,0.015726000844346503,0.5931922055357202,0.015596152882412229,0.0001298479619342742,True,2
0.20500000000000002,0.20750000000000002,0.11,0.11249999999999999,0.20625000000000002,0.11124999999999999,0.2956650778956507,13.42917532836622,0.017144234550818475,-0.6043128897764802,0.015595489720152872,0.0015487448306656035,True,2
0.20500000000000002,0.20750000000000002,0.11249999999999999,0.11499999999999999,0.20625000000000002,0.11374999999999999,0.2962388899002101,13.43044582283105,0.016932996283378143,-0.604370062027396,0.015596019092846136,0.0013369771905320064,True,2
0.20750000000000002,0.21,0.11,0.11249999999999999,0.20875,0.11124999999999999,0.2961419836655765,13.431506803035912,0.018007793312178576,0.6044178061366168,0.015596461167931924,0.0024113321442466515,True,2
0.20750000000000002,0.21,0.11249999999999999,0.11499999999999999,0.20875,0.11374999999999999,0.2967014471964493,13.43277707698598,0.01785379685565786,0.6044749684643698,0.01559699044874402,0.0022568064069138395,True,2
0.20500000000000002,0.20750000000000002,0.11499999999999999,0.1175,0.20625000000000002,0.11624999999999999,0.29682593646774913,13.431744116085595,0.016717325554968004,0.6044284852238508,0.015596560048369179,0.0011207655065988247,True,2
0.20500000000000002,0.20750000000000002,0.1175,0.12,0.20625000000000002,0.11875,0.29742622160398047,13.433070200069677,0.01649728663586505,0.6044881590031359,0.01559711258336205,0.0009001740525030021,True,2
0.20750000000000002,0.21,0.11499999999999999,0.1175,0.20875,0.11624999999999999,0.2972737633410207,13.43407514494392,0.017696684760449718,0.6157284441432633,0.01559753131039282,0.0020991534500568974,True,2
0.20750000000000002,0.21,0.1175,0.12,0.20875,0.11875,0.2978589336111954,13.435400998853737,0.017474012734828244,0.6157892124474635,0.01559808374952193,0.0018759289853063146,True,2
0.21,0.2125,0.05,0.052500000000000005,0.21125,0.051250000000000004,0.2872676426157202,13.411739260811776,0.021162396950814753,-0.6147047161205403,0.015588224692004937,0.005574172258809816,True,2
0.21,0.2125,0.052500000000000005,0.055,0.21125,0.053750000000000006,0.2875162961754297,13.412340399796003,0.021081867655732302,-0.6147322683239835,0.015588475166582003,0.0054933924891503,True,2
0.2125,0.215,0.05,0.052500000000000005,0.21375,0.051250000000000004,0.28800057325318423,13.414129677321597,0.02167668962188937,-0.6259927182750076,0.015589220698883688,0.006087468923005681,True,2
0.2125,0.215,0.052500000000000005,0.055,0.21375,0.053750000000000006,0.28824362825076255,13.414730709186824,0.0215940809509313,0.6260207664287183,0.015589471128828011,0.006004609822103289,True,2
