Omega_over_gamma,Delta_over_gamma,k,alpha_over_gamma,min_sigma_min_Mk_on_boundary,y_at_min_sigma,min_abs_det_Mk_on_boundary,y_at_min_abs_det,min_Re_Sigma_minus,min_Re_Sigma_plus
0.25,0.076,3,0.19039996400799925,0.09349964454025901,0.551,0.2744218486045828,0.5215000000000001,0.02137716926867669,0.020582608369178284
0.25,0.077,3,0.18977554995337753,0.09409633519694756,0.551,0.27647761371571417,0.521,0.021378050332275824,0.02057347530162744
0.25,0.078,3,0.18915425680429016,0.09469115987865652,0.551,0.2785313456903349,0.5205,0.021378924927539615,0.02056434659486225
0.25,0.079,3,0.18853605752990843,0.09528413848077477,0.551,0.2805830606501681,0.5205,0.02137979294120874,0.02055522212726328
0.25,0.08,3,0.1879209255028374,0.09587529059464896,0.551,0.28263198807469353,0.52,0.021380654261730716,0.020546101779428692
0.25,0.081,3,0.18730883449030716,0.09646463551435136,0.551,0.28467897529189107,0.5195000000000001,0.021381508779222506,0.020536985434126222
0.25,0.08199999999999999,3,0.18669975864561922,0.0970521922432486,0.551,0.28672404170489524,0.519,0.021382356385434256,0.02052787297624651
0.25,0.08299999999999999,3,0.18609367249982495,0.09763793291479646,0.5515,0.28876720668421035,0.5185,0.021383196973714047,0.02051876429275764
0.25,0.08399999999999999,3,0.185490550953642,0.09822191384735426,0.5515,0.2908084895582368,0.518,0.021384030438973654,0.02050965927266107
0.25,0.08499999999999999,3,0.18489036926959596,0.09880416111883135,0.5515,0.2928474216265875,0.518,0.021384856677655332,0.02050055780694869
0.25,0.086,3,0.18429310306437507,0.09938469264909283,0.5515,0.2948843446944988,0.5175000000000001,0.0213856755876995,0.020491459788561105
0.25,0.087,3,0.18369872830139466,0.0999635260970827,0.5515,0.29691947283444764,0.517,0.021386487068513323,0.020482365112346995
0.25,0.088,3,0.18310722128357004,0.10054067886637667,0.5515,0.2989528245775884,0.5165,0.021387291020940228,0.020473273675023648
0.25,0.089,3,0.18251855864627492,0.1011161681105901,0.5515,0.30098441839203866,0.516,0.02138808734723023,0.020464185375138513
0.25,0.09,3,0.18193271735049915,0.10169001073863146,0.5515,0.3030142726763339,0.5155000000000001,0.021388875951011077,0.02045510011303176
0.25,0.091,3,0.1813496746761832,0.10226222341981728,0.5515,0.30504205593258626,0.5155000000000001,0.02138965673726024,0.020446017790799905
0.25,0.092,3,0.1807694082157334,0.10283282258884686,0.5515,0.30706796439382844,0.515,0.0213904296122776,0.020436938312260303
0.25,0.093,3,0.18019189586770423,0.10340182445064695,0.5515,0.30909221504164186,0.5145,0.021391194483658928,0.020427861582916654
0.25,0.094,3,0.17961711583065143,0.10396924498508357,0.5515,0.31111482547465263,0.514,0.021391951260270076,0.02041878750992536
0.25,0.095,3,0.1790450465971417,0.10453509995155064,0.5515,0.3131358132097395,0.5135000000000001,0.021392699852221832,0.02040971600206276
0.25,0.096,3,0.17847566694791972,0.10509940489343812,0.5515,0.3151551956775438,0.513,0.02139344017084549,0.020400646969693237
0.25,0.097,3,0.1779089559462256,0.10566217514248208,0.5515,0.31717299021833356,0.5125,0.02139417212866906,0.020391580324738104
0.25,0.098,3,0.17734489293225753,0.10622342582300166,0.5515,0.31918916435510414,0.5125,0.021394895639394087,0.020382515980645305
0.25,0.099,3,0.17678345751777358,0.10678317185602858,0.5515,0.3212034582728295,0.512,0.02139561061787308,0.02037345385235986
0.25,0.1,3,0.1762246295808364,0.10734142796332447,0.5515,0.3232162401613984,0.5115000000000001,0.0213963169800876,0.020364393856295106
0.25,0.101,3,0.1756683892606814,0.10789820867130326,0.5515,0.32522752657651516,0.511,0.02139701464312678,0.02035533591030458
0.25,0.10200000000000001,3,0.17511471695272363,0.10845352831484564,0.5515,0.32723733397826515,0.5105,0.021397703525166584,0.02034627993365467
0.25,0.10300000000000001,3,0.17456359330367782,0.10900740104102487,0.5515,0.3292456787283315,0.51,0.021398383545449425,0.02033722584699789
0.25,0.104,3,0.17401499920681018,0.10955984081273112,0.5515,0.3312525770874214,0.5095000000000001,0.021399054624264426,0.020328173572346835
0.25,0.105,3,0.1734689157973,0.11011086141220913,0.5515,0.33325804521293756,0.509,0.021399716682928126,0.020319123033048805
0.25,0.106,3,0.17292532444771636,0.11066047644450916,0.5515,0.3352620991568568,0.5085000000000001,0.021400369643765703,0.02031007415376096
0.25,0.107,3,0.17238420676360738,0.11120865801381728,0.552,0.33726475486379953,0.508,0.021401013430092656,0.020301026860426164
0.25,0.108,3,0.17184554457919282,0.11175542300934868,0.552,0.33926602816929713,0.5075000000000001,0.021401647966196934,0.020291981080249353
0.25,0.109,3,0.17130931995316256,0.11230082184021521,0.552,0.341265934798224,0.507,0.02140227317732156,0.02028293674167449
0.25,0.11,3,0.17077551516457626,0.11284486744420202,0.552,0.34326449036339435,0.5065000000000001,0.021402888989647623,0.020273893774362062
0.25,0.111,3,0.17024411270885853,0.11338757259777131,0.552,0.34526158124548356,0.5065000000000001,0.021403495330277744,0.020264852109167102
0.25,0.112,3,0.16971509529388895,0.11392894991903983,0.552,0.3472573657749778,0.506,0.02140409212721992,0.020255811678117734
0.25,0.11299999999999999,3,0.16918844583618986,0.11446901187068037,0.552,0.349251865910856,0.5055000000000001,0.02140467930937176,0.02024677241439423
0.25,0.11399999999999999,3,0.16866414745719255,0.11500777076276264,0.552,0.3512450965282916,0.505,0.021405256806505155,0.020237734252308532
0.25,0.11499999999999999,3,0.1681421834796024,0.11554523875551642,0.552,0.3532370723926586,0.5045000000000001,0.02140582454925121,0.020228697127284232
0.25,0.11599999999999999,3,0.1676225374238398,0.11608142786203667,0.552,0.3552278081587032,0.504,0.02140638246908567,0.020219660975837085
0.25,0.11699999999999999,3,0.16710519300456816,0.11661634995092089,0.552,0.35721731836980586,0.5035000000000001,0.02140693049831462,0.020210625735555866
0.25,0.118,3,0.16659013412729698,0.11715001674884895,0.552,0.3592056174573666,0.503,0.021407468570060522,0.020201591345083744
0.25,0.119,3,0.16607734488506737,0.1176824398430974,0.552,0.36119271974027056,0.5025000000000001,0.02140799661824863,0.020192557744100042
0.25,0.12,3,0.1655668095552103,0.11821363068399907,0.552,0.36317863942445483,0.502,0.021408514577593674,0.02018352487330239
0.25,0.121,3,0.16505851259617643,0.1187436005873463,0.552,0.36516339060256453,0.5015000000000001,0.021409022383586895,0.020174492674389307
