Omega_over_gamma,Delta_over_gamma,gap_k1_over_gamma,gap_k2_over_gamma,gap_k3_over_gamma,gap_k4_over_gamma,winner_k_among_1_to_4
0.8125,0.3,0.28112434388039165,0.42721505702994966,0.5430216205877141,0.6302006758190606,1
0.81375,0.3,0.2810341671309932,0.427487333982094,0.5433324619040947,0.6305722842712497,1
0.8150000000000001,0.3,0.28094438839382435,0.4277590855364275,0.5436425441010525,0.6309434003595968,1
0.81625,0.3,0.28085500525151597,0.42803030848283485,0.5439518708120032,0.631314026132512,1
0.8175,0.3,0.28076601530577266,0.42830099964951085,0.5442604456598473,0.631684163616448,1
0.81875,0.3,0.2806774161771853,0.4285711559029367,0.5445682722567596,0.6320538148161101,1
0.8200000000000001,0.3,0.2805892055050469,0.42884077414786903,0.5448753542039617,0.6324229817146573,1
0.82125,0.3,0.28050138094717136,0.4291098513273063,0.5451816950915309,0.6327916662739235,1
0.8225,0.3,0.280413940179712,0.42937838442247417,0.5454872984981952,0.6331598704346129,1
0.82375,0.3,0.28032688089698204,0.4296463704527924,0.5457921679911314,0.6335275961165242,1
0.8250000000000001,0.3,0.2802402008112831,0.429913806475839,0.5460963071257843,0.6338948452187375,1
0.82625,0.3,0.28015389765272636,0.430180689587324,0.5463997194456732,0.634261619619834,1
0.8275,0.3,0.2800679691690632,0.4304470169210447,0.5467024084822201,0.6346279211781011,1
0.82875,0.3,0.279982413125514,0.4307127856488515,0.5470043777545727,0.6349937517317107,1
0.8300000000000001,0.3,0.27989722730460087,0.4309779929805979,0.5473056307694344,0.6353591130989626,1
0.83125,0.3,0.27981240950598085,0.43124263616410397,0.5476061710209007,0.635724007078432,1
0.8325,0.3,0.27972795754628244,0.4315067124850953,0.5479060019903019,0.636088435449217,1
0.83375,0.3,0.2796438692589415,0.4317702192671582,0.5482051271460445,0.6364523999711023,1
0.835,0.3,0.2795601424940421,0.4320331538716864,0.5485035499434697,0.6368159023847737,1
0.83625,0.3,0.2794767751181574,0.43229551369781927,0.5488012738246963,0.6371789444120106,1
0.8375,0.3,0.27939376501419283,0.4325572961823761,0.5490983022184919,0.6375415277558623,1
0.83875,0.3,0.2793111100812299,0.4328184987998047,0.5493946385401313,0.6379036541008674,1
