Omega_over_gamma,Delta_over_gamma,alpha_over_gamma,min_sigma_min_Mk_on_boundary,y_at_min_sigma,min_abs_det_Mk_on_boundary,y_at_min_abs_det
0.2601,0.0746,0.24193045792808388,0.053238372178504446,0.5812999999999999,0.1590459181020817,0.575
0.2601,0.0747,0.24169010813337813,0.05344794621751894,0.5812999999999999,0.1597391170506584,0.575
0.2601,0.07479999999999999,0.2414519965395986,0.05365564591016367,0.5812999999999999,0.16042677025140534,0.575
0.2601,0.0749,0.24121606560175254,0.05386151957692863,0.5812999999999999,0.16110902074150932,0.575
0.2601,0.075,0.240982260138893,0.054065613554120824,0.5812999999999999,0.1617860057094459,0.575
0.2601,0.0751,0.24075052720150558,0.054267972305138024,0.5812999999999999,0.16245785682210237,0.575
0.2601,0.0752,0.24052081594827268,0.054468638523874804,0.5812999999999999,0.16312470052881708,0.575
0.2601,0.07529999999999999,0.24029307753142048,0.05466765284698738,0.5812499999999999,0.1637866583442866,0.575
0.2601,0.0754,0.2400672649899416,0.05486505452867948,0.5812499999999999,0.16444384711207483,0.575
0.2601,0.0755,0.23984333315002615,0.055060882102009864,0.5812499999999999,0.16509637925037218,0.575
0.2601,0.0756,0.23962123853212236,0.055255172080735764,0.5812499999999999,0.16574436298142592,0.575
0.2601,0.07569999999999999,0.23940093926410938,0.05544795962935126,0.5812499999999999,0.16638790254590866,0.575
0.2601,0.07579999999999999,0.23918239500007527,0.055639278631242906,0.5812499999999999,0.16702709840348112,0.575
0.2601,0.0759,0.23896556684427853,0.0558291617524976,0.5812499999999999,0.16766204742058144,0.575
0.2601,0.076,0.23875041727990476,0.056017640501686485,0.5812499999999999,0.1682928430463943,0.575
0.2601,0.0761,0.23853691010223504,0.05620474528594869,0.5812499999999999,0.16891957547794795,0.575
0.2601,0.07619999999999999,0.23832501035590145,0.05639050546364471,0.5812499999999999,0.1695423318151394,0.575
0.2601,0.07629999999999999,0.2381146842759438,0.05657494939382072,0.5812499999999999,0.17016119620638298,0.575
0.2601,0.0764,0.23790589923237537,0.05675810448273041,0.5812499999999999,0.17077624998561056,0.575
0.2601,0.0765,0.23769862367800965,0.05693999722761772,0.5812499999999999,0.17138757180122863,0.575
0.2601,0.0766,0.23749282709931888,0.057120653257958856,0.5812499999999999,0.17199523773759998,0.575
0.2601,0.07669999999999999,0.23728847997011596,0.05730009737433323,0.5812499999999999,0.17259932142955844,0.575
0.2601,0.0768,0.23708555370784948,0.05747835358510249,0.5812499999999999,0.1731998941704816,0.575
0.2601,0.0769,0.2368840206323617,0.057655445141024275,0.5812499999999999,0.17379702501428146,0.575
