side,Omega_center,Delta_center,box_status,passed,sigma_minus_diff
2,0.2648275,0.076958822261095,certified_box,True,0.02234606335902959
1,0.26483,0.0769004418563842,certified_box,True,0.022377681118328354
2,0.26483,0.0769604418563842,certified_box,True,0.022346405528609347
1,0.2648324999999999,0.0769020614740252,certified_box,True,0.022378023677580666
2,0.2648324999999999,0.0769620614740252,certified_box,True,0.022346749184162174
1,0.264835,0.0769036811155081,certified_box,True,0.02237836771961553
2,0.264835,0.0769636811155081,certified_box,True,0.022347094325492065
1,0.2648375,0.0769053007793426,certified_box,True,0.02237871324579272
2,0.2648375,0.0769653007793426,certified_box,True,0.02234744095264646
1,0.2648399999999999,0.0769069204640388,certified_box,True,0.0223790602574698
2,0.2648399999999999,0.0769669204640388,certified_box,True,0.022347789065672998
1,0.2648425,0.0769085401725769,certified_box,True,0.022379408751708383
2,0.2648425,0.0769685401725769,certified_box,True,0.022348138664253697
1,0.264845,0.0769101599049568,certified_box,True,0.02237975872843328
2,0.264845,0.0769701599049568,certified_box,True,0.0223484897483135
1,0.2648475,0.0769117796581983,certified_box,True,0.02238011019043639
2,0.2648475,0.0769717796581983,certified_box,True,0.022348842318019688
1,0.26485,0.0769133994352817,certified_box,True,0.022380463134777193
2,0.26485,0.0769733994352817,certified_box,True,0.022349196373055276
1,0.2648525,0.0769150192347168,certified_box,True,0.022380817562812457
2,0.2648525,0.0769750192347168,certified_box,True,0.022349551913463415
1,0.264855,0.0769166390565037,certified_box,True,0.02238117347446703
2,0.264855,0.0769766390565037,certified_box,True,0.022349908939170902
1,0.2648574999999999,0.0769182589006423,certified_box,True,0.022381530869665437
2,0.2648574999999999,0.0769782589006423,certified_box,True,0.02235026745009961
1,0.26486,0.0769198787686228,certified_box,True,0.02238188974689919
2,0.26486,0.0769798787686228,certified_box,True,0.022350627446051263
1,0.2648625,0.076921498658955,certified_box,True,0.02238225010752429
2,0.2648625,0.0769814986589551,certified_box,True,0.02235098892707169
1,0.264865,0.076923118571639,certified_box,True,0.02238261195146448
2,0.264865,0.076983118571639,certified_box,True,0.022351351893081964
1,0.2648675,0.0769247385066747,certified_box,True,0.022382975278642223
2,0.2648675,0.0769847385066747,certified_box,True,0.022351716344005523
1,0.26487,0.0769263584640621,certified_box,True,0.022383340088981386
2,0.26487,0.0769863584640621,certified_box,True,0.02235208227976504
1,0.2648725,0.0769279784452915,certified_box,True,0.02238370638097163
2,0.2648725,0.0769879784452915,certified_box,True,0.022352449700160083
1,0.2648749999999999,0.0769295984488725,certified_box,True,0.022384074155967288
2,0.2648749999999999,0.0769895984488725,certified_box,True,0.022352818605234075
1,0.2648775,0.0769312184733152,certified_box,True,0.02238444341532296
2,0.2648775,0.0769912184733152,certified_box,True,0.022353188995029877
1,0.26488,0.0769328385215997,certified_box,True,0.022384814156096906
2,0.26488,0.0769928385215997,certified_box,True,0.02235356086922623
1,0.2648825,0.0769344585937261,certified_box,True,0.02238518637820931
2,0.2648825,0.0769944585937261,certified_box,True,0.022353934227743046
1,0.264885,0.0769360786867141,certified_box,True,0.022385560084445782
2,0.264885,0.0769960786867141,certified_box,True,0.022354309070744153
1,0.2648875,0.0769376988035439,certified_box,True,0.022385935271863975
2,0.2648875,0.0769976988035439,certified_box,True,0.02235468539790689
1,0.26489,0.0769393189427256,certified_box,True,0.02238631194181618
2,0.26489,0.0769993189427256,certified_box,True,0.022355063209272896
