Omega_over_gamma,Delta_star_over_gamma,g_at_star,gap1_star,gap2_star,Delta_k1_side,gap1_k1_side,gap2_k1_side,winner_k1_side,Delta_k2_side,gap1_k2_side,gap2_k2_side,winner_k2_side,eta
0.265015,0.08232712805662303,-8.583911359494323e-12,0.2807039889374173,0.2807039889288334,0.08235712805662303,0.2800425643720066,0.2807100562241162,1,0.08229712805662302,0.2814472535357807,0.28069792393177523,2,3e-05
0.26502,0.08233957167807969,8.392730954653871e-13,0.2807070004155987,0.280707000416438,0.08236957167807969,0.2800465965675423,0.28071306842157906,1,0.08230957167807969,0.2814488011921281,0.2807009347094472,2,3e-05
0.265025,0.08235201311465354,-8.91520191004247e-12,0.2807100116975075,0.2807100116885923,0.08238201311465354,0.2800506253135723,0.280716080403367,1,0.08232201311465354,0.2814503552295091,0.2807039452718946,2,3e-05
0.26503,0.0823644523685798,-9.78372938220673e-12,0.2807130227553482,0.2807130227455645,0.0823944523685798,0.28005465059990964,0.2807190921697463,1,0.0823344523685798,0.28145191556937044,0.280706955619385,2,3e-05
0.26503499999999997,0.08237688944097607,8.182343691487404e-14,0.2807160335873135,0.28071603358739533,0.08240688944097607,0.28005867243967414,0.28072210372075956,1,0.08234688944097607,0.28145348216318866,0.2807099657519586,2,3e-05
0.26504,0.08238932433184236,-3.4927061243195112e-12,0.2807190442173919,0.2807190442138992,0.08241932433184236,0.28006269086914354,0.28072511505622194,1,0.08235932433184236,0.28145505499223505,0.28071297566943076,2,3e-05
0.265045,0.08240175704341385,7.459421969002733e-12,0.2807220546178857,0.2807220546253451,0.08243175704341385,0.28006670587792554,0.2807281261763988,1,0.08237175704341385,0.2814566339795106,0.28071598537206877,2,3e-05
0.26505,0.08241418757569048,8.85430617714178e-12,0.2807250648126923,0.28072506482154663,0.08244418757569048,0.2800707175020852,0.28073113708110825,1,0.08238418757569048,0.2814582191070338,0.28071899485968826,2,3e-05
0.265055,0.08242661592978984,2.7140512059986577e-12,0.2807280747998313,0.28072807480254536,0.08245661592978984,0.28007472575424647,0.28073414777039074,1,0.08239661592978983,0.2814598103279146,0.2807220041323307,2,3e-05
0.26505999999999996,0.08243904210682959,-8.970324483215109e-12,0.2807310845773554,0.2807310845683851,0.0824690421068296,0.28007873064698857,0.2807371582442893,1,0.08240904210682959,0.2814614075956927,0.2807250131900367,2,3e-05
0.265065,0.08245146610904487,1.5860091018282674e-12,0.2807340941177469,0.2807340941193329,0.08248146610904487,0.2800827321697301,0.28074016850307126,1,0.08242146610904487,0.2814630108354376,0.2807280220330766,2,3e-05
0.26507,0.08246388793643565,1.0526246541076034e-11,0.2807371034446786,0.28073710345520486,0.08249388793643565,0.280086730357987,0.2807431785465522,1,0.08243388793643565,0.28146462003061906,0.28073103066126465,2,3e-05
0.265075,0.08247630758900198,-5.82550674366189e-12,0.2807401125816422,0.2807401125758167,0.08250630758900199,0.28009072524711226,0.28074618837454934,1,0.08244630758900198,0.28146623516489633,0.2807340390744172,2,3e-05
0.26508,0.08248872507009657,5.9818816566803434e-12,0.280743121475682,0.28074312148166386,0.08251872507009657,0.28009471680322384,0.28074919798755804,1,0.08245872507009656,0.28146785613583314,0.280737047273029,2,3e-05
0.265085,0.08250114037860186,-3.3693603462836563e-12,0.2807461301757061,0.28074613017233674,0.08253114037860186,0.2800987050844883,0.2807522073851668,1,0.08247114037860186,0.28146948295665797,0.28074005525669055,2,3e-05
0.26509,0.08251355351675305,-6.1539107143460114e-12,0.2807491386542571,0.2807491386481032,0.08254355351675305,0.28010269007991784,0.2807552165676459,1,0.08248355351675304,0.2814711155546308,0.28074306302567004,2,3e-05
0.26509499999999997,0.08252596448566765,-3.393396674766791e-13,0.280752146909347,0.2807521469090077,0.08255596448566765,0.28010667180148346,0.28075822553503893,1,0.08249596448566765,0.2814727538862122,0.2807460705800118,2,3e-05
0.2651,0.08253837328534577,-9.370337838987552e-12,0.2807551549642365,0.28075515495486614,0.08256837328534578,0.2801106502839257,0.2807612342871624,1,0.08250837328534577,0.28147439793678586,0.28074907791953024,2,3e-05
0.265105,0.08255077991802248,-5.6294413575130875e-12,0.2807581627915784,0.28075816278594895,0.08258077991802248,0.2801146255161106,0.28076424282428486,1,0.08252077991802248,0.2814760476349736,0.2807520850444974,2,3e-05
0.26511,0.08256318438425662,2.2498669594028797e-13,0.2807611704019596,0.28076117040218457,0.08259318438425663,0.2801185975211456,0.28076725114633944,1,0.08253318438425662,0.28147770295260865,0.280755091954842,2,3e-05
0.265115,0.08257558668460697,-2.3727131370776533e-12,0.2807641778058776,0.2807641778035049,0.08260558668460698,0.28012256632201266,0.2807702592532538,1,0.08254558668460697,0.28147936386180444,0.2807580986504945,2,3e-05
0.26511999999999997,0.08258798682074994,1.4483969579259792e-12,0.28076718498861997,0.28076718499006836,0.08261798682074994,0.2801265319187743,0.2807732671451863,1,0.08255798682074994,0.2814810303066396,0.2807611051316119,2,3e-05
0.265125,0.08260038479324433,1.132705040873816e-12,0.28077019196067043,0.28077019196180314,0.08263038479324433,0.28013049433422194,0.2807762748220671,1,0.08257038479324433,0.28148270225990374,0.28076411139812546,2,3e-05
0.26513,0.08261278060320765,-1.106892355551281e-12,0.28077319871986045,0.28077319871875356,0.08264278060320765,0.28013445357963773,0.28077928228394217,1,0.08258278060320765,0.2814843796805688,0.2807671174500782,2,3e-05
0.265135,0.08262517425175757,-3.084199562408685e-12,0.280776205264049,0.2807762052609648,0.08265517425175757,0.28013840966624415,0.28078228953085405,1,0.08259517425175757,0.28148606252794994,0.28077012328751455,2,3e-05
0.26514,0.08263756574001167,-2.5924262736509718e-12,0.28077921159107455,0.2807792115884821,0.08266756574001168,0.28014236260514713,0.28078529656284823,1,0.08260756574001167,0.28148775076174337,0.2807731289104798,2,3e-05
0.26514499999999996,0.08264995506908746,2.559952250180686e-12,0.280782217698788,0.2807822177013479,0.08267995506908746,0.2801463124074307,0.2807883033799685,1,0.08261995506908745,0.2814894443419823,0.280776134319017,2,3e-05
0.26515,0.08266234223898501,-1.0499323632728874e-11,0.28078522360988156,0.28078522359938224,0.08269234223898501,0.2801502591066142,0.28079130998203367,1,0.08263234223898501,0.28149114325700897,0.280779139512945,2,3e-05
0.265155,0.08267472725305706,1.0631884261869118e-11,0.2807882292724498,0.28078822928308167,0.08270472725305707,0.28015420266843766,0.28079431636954166,1,0.08264472725305706,0.2814928474116314,0.2807821444927621,2,3e-05
0.26516,0.08268711010906848,-6.939726571175697e-12,0.28079123475875306,0.28079123475181333,0.08271711010906849,0.28015814317132604,0.2807973225418583,1,0.08265711010906848,0.28149455685053104,0.28078514925783304,2,3e-05
0.265165,0.08269949081037195,-1.0846212816773004e-11,0.2807942400169195,0.2807942400060733,0.08272949081037195,0.2801620805808853,0.2808003284994813,1,0.08266949081037195,0.28149627147929723,0.2807881538086555,2,3e-05
0.26517,0.08271186935808514,1.1196044091832391e-12,0.28079724504478865,0.28079724504590825,0.08274186935808514,0.28016601490778437,0.28080333424245835,1,0.08268186935808514,0.28149799125967767,0.2807911581452757,2,3e-05
0.265175,0.08272424575220796,6.3160587870925156e-12,0.280800249864822,0.28080024987113805,0.08275424575220797,0.2801699461850351,0.2808063397706048,1,0.08269424575220796,0.28149971618139946,0.2807941622675125,2,3e-05
0.26517999999999997,0.08273661999385806,7.0743411129114975e-12,0.28080325447473253,0.2808032544818069,0.08276661999385806,0.2801738744230578,0.28080934508397026,1,0.08270661999385806,0.2815014462067249,0.2807971661754111,2,3e-05
0.265185,0.08274899208415303,5.740852238034222e-12,0.28080625887222,0.28080625887796085,0.08277899208415303,0.2801777996322025,0.2808123501825974,1,0.08271899208415302,0.2815031812982015,0.28080016986901707,2,3e-05
0.26519,0.08276136202421043,4.6702641753881835e-12,0.2808092630549766,0.2808092630596469,0.08279136202421043,0.2801817218227338,0.28081535506653427,1,0.08273136202421043,0.2815049214187035,0.2808031733483768,2,3e-05
0.265195,0.08277372981514783,6.204481373117687e-12,0.2808122670207053,0.28081226702690976,0.08280372981514783,0.28018564100488064,0.2808183597358267,1,0.08274372981514783,0.2815066665314728,0.2808061766135358,2,3e-05
0.2652,0.08278609545752408,3.561595462997502e-13,0.28081527077932755,0.2808152707796837,0.08281609545752408,0.280189557199902,0.2808213641904074,1,0.08275609545752408,0.2815084166136952,0.2808091796644281,2,3e-05
0.26520499999999997,0.0827984589530155,1.871836019518014e-12,0.28081827431625517,0.280818274318127,0.08282845895301551,0.2801934704066783,0.2808243684304365,1,0.0827684589530155,0.28151017161544356,0.2808121825012119,2,3e-05
0.26521,0.08281082030218094,7.841505222927481e-13,0.2808212776413914,0.28082127764217557,0.08284082030218094,0.28019738064630895,0.2808273724558475,1,0.08278082030218094,0.28151193151449927,0.2808151851238219,2,3e-05
0.265215,0.08282317950613799,-4.590772206825022e-13,0.2808242807523329,0.2808242807518738,0.08285317950613799,0.28020128792867555,0.2808303762666879,1,0.08279317950613799,0.28151369627518963,0.28081818753230353,2,3e-05
0.26522,0.08283553656600418,5.259126467649367e-13,0.28082728364674336,0.2808272836472693,0.08286553656600418,0.2802051922635601,0.28083337986300405,1,0.08280553656600417,0.2815154658621873,0.2808211897267031,2,3e-05
0.265225,0.08284789148289712,6.173062061520795e-12,0.28083028632223717,0.28083028632841023,0.08287789148289712,0.2802090936607081,0.2808363832448424,1,0.08281789148289712,0.2815172402404379,0.28082419170707085,2,3e-05
0.26522999999999997,0.08286024425681682,-5.521305634914597e-12,0.2808332888006363,0.280833288795115,0.08289024425681682,0.280212992151866,0.2808393864120254,1,0.08283024425681682,0.2815190194021906,0.28082719347322455,2,3e-05
0.265235,0.08287259489055723,4.5615178301261494e-12,0.2808362910432108,0.2808362910477723,0.08290259489055724,0.28021688771346137,0.28084238936493877,1,0.08284259489055723,0.2815208032723731,0.2808301950255519,2,3e-05
0.26524,0.08288494338300081,-9.916345522498204e-12,0.28083929309589345,0.2808392930859771,0.08291494338300082,0.2802207803991031,0.28084539210317777,1,0.08285494338300081,0.2815225918707018,0.280833196363647,2,3e-05
0.265245,0.08289728973750025,2.2744028882470957e-12,0.28084229490795576,0.28084229491023016,0.08292728973750026,0.28022467017411534,0.2808483946272438,1,0.08286728973750025,0.2815243851093136,0.2808361974880106,2,3e-05
0.26525,0.08290963395293803,-5.070110997706934e-12,0.2808452965251938,0.2808452965201237,0.08293963395293803,0.28022855709189565,0.2808513969367302,1,0.08287963395293803,0.28152618300828003,0.2808391983982386,2,3e-05
0.265255,0.08292197603154927,-5.092093413594512e-12,0.2808482979210284,0.2808482979159363,0.08295197603154927,0.2802324411396728,0.28085439903191356,1,0.08289197603154927,0.2815279855072688,0.28084219909460406,2,3e-05
0.26526,0.08293431597445161,4.6962989053156434e-12,0.2808512990930167,0.280851299097713,0.08296431597445161,0.2802363223266646,0.28085740091284184,1,0.08290431597445161,0.28152979257310373,0.2808451995771554,2,3e-05
0.265265,0.08294665378164501,2.603639526199686e-12,0.2808543000626738,0.28085430006527745,0.08297665378164501,0.28024020068390393,0.28086040257933453,1,0.082916653781645,0.2815316041995696,0.2808481998457151,2,3e-05
0.26527,0.08295898945424707,-8.765654868625461e-12,0.28085730082744176,0.2808573008186761,0.08298898945424707,0.2802440762203964,0.2808634040314426,1,0.08292898945424707,0.2815334203538965,0.2808511999003302,2,3e-05
0.265275,0.08297132299449296,-2.7092772469927695e-12,0.2808603013608957,0.2808603013581864,0.08300132299449296,0.2802479489232196,0.28086640526944157,1,0.08294132299449296,0.28153524097702487,0.28085419974127657,2,3e-05
0.26528,0.08298365440238269,-8.058553824241699e-13,0.2808633016844351,0.2808633016836292,0.08301365440238269,0.28025181882313804,0.2808694062931529,1,0.08295365440238268,0.28153706606335116,0.28085719936837633,2,3e-05
0.265285,0.08299598367903385,-4.4403369869883136e-13,0.2808663017954981,0.28086630179505406,0.08302598367903385,0.28025568592894345,0.28087240710262407,1,0.08296598367903385,0.28153889558089473,0.28086019878167845,2,3e-05
0.26528999999999997,0.08300831082556401,9.752199048307375e-13,0.28086930169153457,0.2808693016925098,0.08303831082556401,0.2802595502493894,0.2808754076979078,1,0.082978310825564,0.2815407294979345,0.2808631979812323,2,3e-05
0.265295,0.08302063584309072,6.057598866959779e-12,0.2808723013699878,0.2808723013760454,0.08305063584309072,0.28026341179312836,0.28087840807905007,1,0.08299063584309072,0.2815425677829719,0.2808661969670863,2,3e-05
0.2653,0.08303295873161409,-6.508349414957593e-12,0.28087530085199197,0.2808753008454836,0.0830629587316141,0.2802672705904843,0.28088140824587526,1,0.08300295873161409,0.28154441043110245,0.28086919573906277,2,3e-05
0.265305,0.08304527949336918,-1.013505945834936e-11,0.2808783001112362,0.28087830010110115,0.08307527949336918,0.28027112662825404,0.2808844081986595,1,0.08301527949336918,0.2815462573849294,0.28087219429743865,2,3e-05
0.26531,0.08305759812947364,-2.2092883078528303e-12,0.28088129914515786,0.28088129914294857,0.08308759812947364,0.28027497991491523,0.28088740793745337,1,0.08302759812947363,0.28154810861372576,0.2808751926422633,2,3e-05
0.26531499999999997,0.08306991463992747,-3.9343528435153985e-12,0.2808842979747808,0.28088429797084646,0.08309991463992747,0.28027883048050006,0.28089040746207966,1,0.08303991463992746,0.2815499641131557,0.2808781907733602,2,3e-05
0.26532,0.08308222902640701,-7.090994458280875e-13,0.28088729658566963,0.28088729658496053,0.08311222902640701,0.28028267832251774,0.2808934067727009,1,0.083052229026407,0.2815518238397746,0.2808811886908923,2,3e-05
0.265325,0.0830945412894711,-1.749989042565403e-12,0.28089029498697743,0.28089029498522744,0.0831245412894711,0.2802865234599837,0.2808964058692549,1,0.08306454128947109,0.2815536877765081,0.2808841863947953,2,3e-05
0.26533,0.08310685143079609,7.515266187141378e-12,0.28089329316429484,0.2808932931718101,0.08313685143079609,0.28029036589032286,0.28089940475190495,1,0.08307685143079609,0.2815555558804245,0.2808871838852355,2,3e-05
0.265335,0.0831191594498232,-5.756617404983899e-12,0.2808962911501749,0.2808962911444183,0.0831491594498232,0.2802942056539067,0.2809024034203623,1,0.0830891594498232,0.2815574281608452,0.2808901811619206,2,3e-05
0.26534,0.08313146534990518,8.519573935217295e-12,0.28089928889503857,0.28089928890355814,0.08316146534990518,0.2802980427157561,0.28090540187513086,1,0.08310146534990517,0.28155930453635825,0.2808931782253555,2,3e-05
0.265345,0.08314376912992448,5.7502336225923045e-12,0.2809022864430747,0.2809022864488249,0.08317376912992448,0.2803018771268378,0.2809084001158075,1,0.08311376912992448,0.2815611850295638,0.2808961750751373,2,3e-05
0.26535,0.08315607079155743,5.445643935786393e-13,0.2809052837798395,0.28090528378038404,0.08318607079155743,0.28030570888427087,0.2809113981425568,1,0.08312607079155743,0.2815630695984128,0.2808991717114306,2,3e-05
0.265355,0.08316837033648042,7.419176384360071e-12,0.28090828089098036,0.28090828089839953,0.08319837033648042,0.28030953798519803,0.2809143959555442,1,0.08313837033648042,0.28156495820119065,0.28090216813440055,2,3e-05
0.26536,0.08318066776413471,-6.13575856789339e-12,0.2809112778087178,0.280911277802582,0.08321066776413472,0.2803133644694792,0.2809173935544795,1,0.08315066776413471,0.28156685084786603,0.2809051643437554,2,3e-05
0.265365,0.08319296307731419,-2.077060745619974e-12,0.28091427449540207,0.280914274493325,0.0832229630773142,0.28031718831272506,0.2809203909397555,1,0.08316296307731419,0.2815687474714045,0.28090816033988886,2,3e-05
0.26537,0.0832052562760189,-1.1229350782571146e-12,0.28091727097157404,0.2809172709704511,0.0832352562760189,0.28032100954396216,0.2809233881111962,1,0.08317525627601889,0.2815706480692873,0.2809111561226254,2,3e-05
0.26537499999999997,0.08321754736136647,-4.397593400540245e-13,0.28092026723445296,0.2809202672340132,0.08324754736136647,0.2803248281707413,0.2809263850688539,1,0.08318754736136647,0.2815725526134522,0.28091415169201667,2,3e-05
0.26538,0.0832298363344744,2.7665647550634276e-12,0.28092326328129624,0.2809232632840628,0.0832598363344744,0.28032864420056536,0.28092938181278154,1,0.08319983633447439,0.2815744610760662,0.280917147048114,2,3e-05
0.265385,0.08324212319590152,-3.4139358007223564e-13,0.2809262591208799,0.2809262591205385,0.08327212319590152,0.2803324576515114,0.2809323783429157,1,0.08321212319590152,0.2815763734422078,0.2809201421908557,2,3e-05
0.26539,0.08325440794732422,4.745037696096688e-12,0.2809292547388605,0.2809292547436055,0.08328440794732422,0.28033626852030974,0.2809353746594235,1,0.08322440794732422,0.2815782896717046,0.28092313712040795,2,3e-05
0.265395,0.08326669058930129,9.200196160463747e-12,0.28093225014400475,0.28093225015320494,0.0832966905893013,0.280340076824903,0.28093837076224315,1,0.08323669058930129,0.2815802097499899,0.2809261318367089,2,3e-05
0.26539999999999997,0.08327897112239153,4.2855163862043355e-12,0.28093524534498693,0.28093524534927244,0.08330897112239154,0.2803438825831127,0.2809413666513142,1,0.08324897112239153,0.28158213366264834,0.280929126339698,2,3e-05
0.265405,0.0832912495477125,-7.090994458280875e-12,0.28093824033895143,0.28093824033186043,0.0833212495477125,0.2803476858020944,0.2809443623266885,1,0.0832612495477125,0.281584061382743,0.28093212062942674,2,3e-05
0.26541,0.08330352586749942,1.1250445020039024e-12,0.280941235100128,0.280941235101253,0.08333352586749943,0.28035148646784885,0.28094735778864743,1,0.08327352586749942,0.2815859928582788,0.28093511470617694,2,3e-05
0.265415,0.08331580008175224,8.617051516779384e-12,0.28094422964865545,0.2809442296572725,0.08334580008175224,0.28035528460857395,0.2809503530370171,1,0.08328580008175224,0.28158792808802,0.2809381085697719,2,3e-05
0.26542,0.083328072190471,-4.763411887154234e-12,0.28094722400450955,0.28094722399974614,0.083358072190471,0.2803590802523114,0.2809533480716208,1,0.083298072190471,0.28158986707076206,0.28094110222003876,2,3e-05
0.265425,0.08334034219700842,1.0050127396965536e-11,0.2809502181191315,0.28095021812918164,0.08337034219700842,0.2803628733638843,0.28095634289296917,1,0.08331034219700842,0.28159180972999726,0.28094409565748585,2,3e-05
0.26543,0.08335261010024697,9.858169836007846e-12,0.28095321203531876,0.2809532120451769,0.08338261010024697,0.2803666639922412,0.28095933750066104,1,0.08332261010024697,0.28159375609000564,0.2809470888817105,2,3e-05
0.265435,0.08336487590130419,-2.3486212974432874e-12,0.2809562057501347,0.28095620574778607,0.08339487590130419,0.2803704521441662,0.2809623318947473,1,0.08333487590130419,0.28159570612486734,0.280950081892766,2,3e-05
0.26544,0.08337713960241527,-6.327161017338767e-13,0.28095919923792256,0.28095919923728985,0.08340713960241528,0.2803742378054094,0.2809653260755124,1,0.08334713960241527,0.2815976597838923,0.2809530746909349,2,3e-05
0.265445,0.08338940120358021,-4.99095209605116e-12,0.28096219251850707,0.2809621925135161,0.08341940120358021,0.2803780210036312,0.280968320042781,1,0.08335940120358021,0.28159961706658654,0.28095606727604183,2,3e-05
0.26545,0.08340166070703417,1.0418998996897244e-11,0.2809651855663259,0.2809651855767449,0.08343166070703417,0.2803818017245571,0.2809713137968352,1,0.08337166070703417,0.2816015779227256,0.28095905964837026,2,3e-05
0.265455,0.08341391811165959,2.8305136012818366e-12,0.2809681784237456,0.2809681784265761,0.08344391811165959,0.2803855800165482,0.2809743073372739,1,0.08338391811165959,0.2816035423769283,0.28096205180751743,2,3e-05
0.26546,0.08342617341969161,-1.8599011220032935e-12,0.28097117106515057,0.28097117106329067,0.08345617341969161,0.28038935586520997,0.28097730066437926,1,0.0833961734196916,0.2816055103792932,0.28096504375376674,2,3e-05
0.265465,0.08343842663224786,-6.80566714095221e-13,0.2809741634876238,0.2809741634869432,0.08346842663224786,0.28039312927700155,0.28098029377820666,1,0.08340842663224786,0.281607481904993,0.2809680354871705,2,3e-05
0.26547,0.08345067775044589,9.3574592519019e-12,0.2809771556882329,0.28097715569759035,0.08348067775044589,0.2803969002583402,0.2809832866788096,1,0.08342067775044588,0.28160945692941247,0.280971027007785,2,3e-05
0.265475,0.08346292677428573,8.535006035259585e-12,0.28098014768652163,0.28098014769505664,0.08349292677428573,0.28040066883634585,0.2809862793660163,1,0.08343292677428572,0.2816114354527342,0.2809740183154366,2,3e-05
0.26548,0.08347517370488494,-6.200595592531499e-14,0.28098313947946024,0.28098313947939824,0.08350517370488494,0.2804044350172702,0.2809892718398806,1,0.08344517370488494,0.28161341745054924,0.28097700941017967,2,3e-05
0.265485,0.08348741854447869,9.257039579324555e-12,0.2809861310416419,0.2809861310508989,0.0835174185444787,0.2804081987865882,0.2809922641006881,1,0.08345741854447869,0.28161540287406345,0.2809800002922982,2,3e-05
0.26549,0.08349966129194943,-5.725364626840701e-12,0.2809891224148816,0.28098912240915624,0.08352966129194943,0.2804119601919071,0.2809952561480336,1,0.08346966129194942,0.28161739174837397,0.2809829909613909,2,3e-05
0.265495,0.08351190195064989,3.3011926525716717e-12,0.28099211355138165,0.28099211355468284,0.0835419019506499,0.28041571919792296,0.2809982479824346,1,0.08348190195064989,0.2816193840004978,0.28098598141796927,2,3e-05
0.2655,0.08352414051946251,-5.788036716580791e-12,0.2809951044928658,0.28099510448707776,0.08355414051946251,0.2804194758520482,0.281001239603485,1,0.08349414051946251,0.281621379655699,0.28098897166163206,2,3e-05
0.265505,0.08353637700062247,-7.313982752776838e-12,0.28099809521393954,0.28099809520662555,0.08356637700062247,0.2804232301395924,0.2810042310114722,1,0.08350637700062247,0.2816233786659019,0.28099196169266366,2,3e-05
0.26551,0.08354861139524729,1.7877366254026583e-12,0.28100108571159355,0.2810010857133813,0.08357861139524729,0.2804269820665231,0.2810072222064518,1,0.08351861139524729,0.2816253810077116,0.2809949515111205,2,3e-05
0.265515,0.083560843703337,2.1191381982532675e-12,0.2810040760050527,0.28100407600717187,0.083590843703337,0.2804307316593201,0.281010213188251,1,0.083530843703337,0.2816273866821982,0.2809979411168289,2,3e-05
0.26552,0.08357307392600924,-3.1558644586482387e-12,0.28100706609121173,0.28100706608805587,0.08360307392600924,0.28043447892378515,0.2810132039569258,1,0.08354307392600924,0.28162939566615475,0.281000930509846,2,3e-05
0.265525,0.08358530206494033,2.790545572395331e-13,0.2810100559559235,0.28101005595620254,0.08361530206494033,0.2804382238554148,0.2810161945126474,1,0.08355530206494033,0.28163140792445857,0.28100391969034183,2,3e-05
