k,Omega_lo,Omega_hi,Delta_lo,Delta_hi,alpha_upper_lowrank,Yim_bound,outside_pad,Yscan,sigma_center_min,sigma_scan_lower,sigma_outside_lower,sigma_global_lower,param_pert,higher_rank_margin,passed
111,0.2800000000000001,0.2900000000000001,0.05,0.060000000000000005,0.25791814341786146,32.8717462268131,1.1600000000000006,34.031746226813105,1.4722284690456955,1.4223285478920107,1.1600000000000006,1.1600000000000006,1.1100000000000005,0.050000000000000044,True
111,0.2800000000000001,0.2900000000000001,0.060000000000000005,0.07,0.2617666847226715,33.114483236191425,1.1600000000000006,34.27448323619143,1.4696021988703372,1.419639395319038,1.1600000000000006,1.1600000000000006,1.1100000000000005,0.050000000000000044,True
111,0.2800000000000001,0.2900000000000001,0.07,0.08000000000000002,0.26668236366712617,33.392371883410796,1.160000000000001,34.5523718834108,1.4651754614083399,1.415244288166417,1.160000000000001,1.160000000000001,1.110000000000001,0.050000000000000044,True
111,0.2800000000000001,0.2900000000000001,0.08000000000000002,0.09000000000000001,0.27297703708720644,33.704542720529595,1.1600000000000004,34.8645427205296,1.4601074970304917,1.410158295425148,1.1600000000000004,1.1600000000000004,1.1100000000000003,0.050000000000000044,True
111,0.2800000000000001,0.2900000000000001,0.09000000000000001,0.1,0.2812075871335372,34.05005286339516,1.1600000000000004,35.21005286339516,1.4528211601693648,1.4029485640455739,1.1600000000000004,1.1600000000000004,1.1100000000000003,0.050000000000000044,True
111,0.2800000000000001,0.2900000000000001,0.1,0.11000000000000001,0.2858638502555518,34.42789857078128,1.160000000000001,35.587898570781284,1.4495403696570137,1.399557366046365,1.160000000000001,1.160000000000001,1.110000000000001,0.050000000000000044,True
111,0.2800000000000001,0.2900000000000001,0.11000000000000001,0.12000000000000001,0.2638768902510054,34.837027714774955,1.1600000000000004,35.99702771477496,1.4693537783748267,1.4193579065487496,1.1600000000000004,1.1600000000000004,1.1100000000000003,0.050000000000000044,True
111,0.2900000000000001,0.3000000000000001,0.05,0.060000000000000005,0.25731889823857573,33.959469960527976,1.1600000000000006,35.11946996052798,1.5029706127317046,1.453085001992317,1.1600000000000006,1.1600000000000006,1.1100000000000005,0.050000000000000044,True
111,0.2900000000000001,0.3000000000000001,0.060000000000000005,0.07,0.26080982614687237,34.19448639766365,1.1600000000000006,35.354486397663656,1.5006228951839922,1.4506871799330532,1.1600000000000006,1.1600000000000006,1.1100000000000005,0.050000000000000044,True
111,0.2900000000000001,0.3000000000000001,0.07,0.08000000000000002,0.2651927579729801,34.463667825697286,1.160000000000001,35.62366782569729,1.4965776161416082,1.446684523948755,1.160000000000001,1.160000000000001,1.110000000000001,0.050000000000000044,True
111,0.2900000000000001,0.3000000000000001,0.08000000000000002,0.09000000000000001,0.2706589685864939,34.76622067467221,1.1600000000000004,35.926220674672216,1.4920972836055881,1.4421997548907655,1.1600000000000004,1.1600000000000004,1.1100000000000003,0.050000000000000044,True
