Omega_over_gamma,Delta_over_gamma,gap1_over_gamma,gap2_over_gamma,alpha_over_gamma,winner_k,gap2_minus_gap1
0.2647,0.0853,0.25535790384918977,0.28128683814306743,0.25535790384918977,1,0.02592893429387766
0.2647,0.08535000000000001,0.25518075296921006,0.2812973585503395,0.25518075296921006,1,0.026116605581129437
0.2647,0.0854,0.25500492636895067,0.28130788538261553,0.25500492636895067,1,0.02630295901366486
0.2647,0.08545000000000001,0.25483039796879214,0.28131841864026164,0.25483039796879214,1,0.026488020671469492
0.2647,0.0855,0.2546571425122683,0.28132895832364335,0.2546571425122683,1,0.026671815811375066
0.26475,0.0825,0.2701078953098604,0.28071285720378514,0.2701078953098604,1,0.010604961893924736
0.26475,0.08255,0.2697127553371878,0.2807230143131377,0.2697127553371878,1,0.011010258975949871
0.26475,0.0826,0.2693286430858114,0.28073317782388235,0.2693286430858114,1,0.01140453473807096
0.26475,0.08265,0.26895476298850507,0.2807433477363874,0.26895476298850507,1,0.011788584747882358
0.26475,0.08270000000000001,0.26859040969154374,0.28075352405102083,0.26859040969154374,1,0.01216311435947709
0.26475,0.08275,0.2682349543916629,0.2807637067681536,0.2682349543916629,1,0.012528752376490704
0.26475,0.0828,0.2678878337208502,0.28077389588815455,0.2678878337208502,1,0.012886062167304368
0.26475,0.08285000000000001,0.2675485406216417,0.28078409141139216,0.2675485406216417,1,0.013235550789750472
0.26475,0.0829,0.2672166167940505,0.2807942933382351,0.2672166167940505,1,0.01357767654418457
0.26475,0.08295000000000001,0.26689164639562046,0.2808045016690528,0.26689164639562046,1,0.013912855273432334
0.26475,0.083,0.26657325074963095,0.28081471640421485,0.26657325074963095,1,0.014241465654583896
0.26475,0.08305,0.2662610838711369,0.28082493754408866,0.2662610838711369,1,0.014563853672951765
0.26475,0.08310000000000001,0.26595482866158604,0.28083516508904416,0.26595482866158604,1,0.014880336427458118
0.26475,0.08315,0.26565419365386,0.2808453990394479,0.26565419365386,1,0.01519120538558788
0.26475,0.08320000000000001,0.2653589102135488,0.2808556393956714,0.2653589102135488,1,0.015496729182122582
0.26475,0.08325,0.26506873012069476,0.2808658861580811,0.26506873012069476,1,0.01579715603738635
0.26475,0.0833,0.26478342347068184,0.28087613932704614,0.26478342347068184,1,0.016092715856364292
0.26475,0.08335000000000001,0.26450277684427526,0.28088639890293415,0.26450277684427526,1,0.016383622058658898
0.26475,0.0834,0.2642265917058869,0.28089666488611564,0.2642265917058869,1,0.01667007318022873
0.26475,0.08345000000000001,0.2639546829961533,0.2809069372769573,0.2639546829961533,1,0.01695225428080399
0.26475,0.0835,0.2636868778908973,0.28091721607582604,0.2636868778908973,1,0.01723033818492875
0.26475,0.08355,0.2634230147029523,0.2809275012830929,0.2634230147029523,1,0.017504486580140588
0.26475,0.08360000000000001,0.2631629419073703,0.2809377928991241,0.2631629419073703,1,0.0177748509917538
0.26475,0.08365,0.26290651727343134,0.28094809092428724,0.26290651727343134,1,0.018041573650855902
0.26475,0.08370000000000001,0.2626536070895359,0.2809583953589523,0.2626536070895359,1,0.018304788269416394
0.26475,0.08375,0.2624040854690915,0.2809687062034853,0.2624040854690915,1,0.0185646207343938
0.26475,0.0838,0.26215783372736,0.2809790234582549,0.26215783372736,1,0.01882118973089486
0.26475,0.08385000000000001,0.26191473982051583,0.28098934712362783,0.26191473982051583,1,0.019074607303112
0.26475,0.0839,0.26167469783955916,0.280999677199973,0.26167469783955916,1,0.01932497936041383
0.26475,0.08395000000000001,0.2614376075526756,0.28101001368765643,0.2614376075526756,1,0.019572406134980846
0.26475,0.084,0.2612033739904366,0.28102035658704816,0.2612033739904366,1,0.019816982596611576
0.26475,0.08405,0.2609719070691272,0.28103070589851314,0.2609719070691272,1,0.020058798829385938
0.26475,0.08410000000000001,0.26074312124793736,0.2810410616224199,0.26074312124793736,1,0.020297940374482515
0.26475,0.08415,0.26051693521641744,0.28105142375913456,0.26051693521641744,1,0.02053448854271711
0.26475,0.08420000000000001,0.2602932716089748,0.2810617923090266,0.2602932716089748,1,0.020768520700051807
0.26475,0.08425,0.26007205674362044,0.2810721672724604,0.26007205674362044,1,0.021000110528839988
0.26475,0.0843,0.2598532203824901,0.28108254864980586,0.2598532203824901,1,0.021229328267315772
0.26475,0.08435000000000001,0.2596366955119921,0.2810929364414267,0.2596366955119921,1,0.0214562409294346
0.26475,0.0844,0.25942241814058703,0.2811033306476926,0.25942241814058703,1,0.021680912507105576
0.26475,0.08445000000000001,0.2592103271125896,0.2811137312689691,0.2592103271125896,1,0.02190340415637948
0.26475,0.0845,0.2590003639364026,0.281124138305623,0.2590003639364026,1,0.022123774369220417
0.26475,0.08455,0.2587924726258805,0.28113455175802093,0.2587924726258805,1,0.022342079132140424
