winner_side,Omega_center,Delta_center,alpha_center,y_center,sigma_center,worst_sigma,max_diff,sigma_minus_diff,passed,box_status
1,0.26575,0.08515000000000003,0.2704100000356785,0.598,0.031844136572230876,0.03071424760934837,0.0016706788882606275,0.03017345768397025,True,certified_box
1,0.26575,0.08525000000000003,0.26970847563055383,0.598,0.03244100707675318,0.031360405472927795,0.001623397555358019,0.030817609521395162,True,certified_box
1,0.26575,0.08535000000000004,0.26903651176406046,0.598,0.033013138687675116,0.03197620273378853,0.001582159654851176,0.03143097903282394,True,certified_box
1,0.26575,0.08545000000000004,0.26839099997025245,0.598,0.03356313168625613,0.03256522893716949,0.0015458554238543286,0.032017276262401806,True,certified_box
1,0.26575,0.08555000000000004,0.2677693336522822,0.598,0.03409316664421537,0.03313042631957187,0.0015136354350719597,0.03257953120914341,True,certified_box
2,0.26585,0.08385,0.28109596861166675,0.5985,0.022807874793111416,0.02279280688718161,0.000978889179105771,0.021828985614005644,True,certified_box
2,0.26585,0.08395,0.2811164533219446,0.5985,0.022799084856270045,0.022784000919893573,0.0009788897598129282,0.021820195096457117,True,certified_box
2,0.26585,0.08405,0.2811369634164486,0.5985,0.02279028516095716,0.022775185177292618,0.000978890341107635,0.021811394819849526,True,certified_box
2,0.26585,0.08415,0.2811574988979681,0.5985,0.022781475711824754,0.02276635966402015,0.0009788909229908977,0.021802584788833856,True,certified_box
2,0.26585,0.08425,,,,,,,False,crosses_boundary
2,0.26585,0.08435000000000001,,,,,,,False,crosses_boundary
1,0.26585,0.08445000000000001,,,,,,,False,crosses_boundary
1,0.26585,0.08455000000000001,0.27850940492774523,0.5985,0.02503313898574053,0.022813530021087984,0.0028307423399118632,0.022202396645828668,True,certified_box
1,0.26585,0.08465000000000002,0.27724759707810426,0.5985,0.026098788551003525,0.024174417825266158,0.002502587851167258,0.023596200699836267,True,certified_box
1,0.26585,0.08475000000000002,0.276116928463783,0.5985,0.027054747546994464,0.025334490544528594,0.002280111830508121,0.024774635716486342,True,certified_box
1,0.26585,0.08485000000000002,0.27508581032346896,0.5985,0.02792743056044153,0.026359237768897887,0.0021174757895231866,0.025809954770918343,True,certified_box
1,0.26585,0.08495000000000003,0.2741335301963848,0.5985,0.028734158413839188,0.02728491739073947,0.0019925516268422495,0.026741606786996937,True,certified_box
1,0.26585,0.08505000000000003,0.27324564296044657,0.5985,0.02948701154962543,0.02813412527163479,0.0018931537688769227,0.027593857780748507,True,certified_box
1,0.26585,0.08515000000000003,0.2724116036848467,0.5985,0.030194809174277172,0.028922028264376138,0.0018119456417117741,0.0283828635325654,True,certified_box
1,0.26585,0.08525000000000003,0.2716234384958211,0.5985,0.03086422056403538,0.029659395395579113,0.0017442136697472259,0.029120006894288154,True,certified_box
