Omega_over_gamma,Delta_over_gamma,k,alpha_over_gamma,min_abs_Fk_on_boundary,y_at_min_abs_Fk,min_Re_Fk_on_boundary,y_at_min_Re_Fk,min_Re_Sigma_minus,y_at_min_Re_Sigma_minus,min_Re_Sigma_plus,y_at_min_Re_Sigma_plus,min_Re_R_minus_1,min_Re_R_plus_1
0.25,0.060000000000000005,3,0.200838804628947,0.16909247375311837,0.5549999999999999,-0.1976184877318089,6.0,0.007698308138807142,6.0,0.0071115135832080225,6.0,0.30814358859213187,0.30611404605165937
0.25,0.060000000000000005,4,0.200838804628947,0.23382413870023183,0.765,-0.19533382245343728,6.0,0.018005986625605975,6.0,0.01663490480589536,6.0,0.3142673981526677,0.3117832235053
0.25,0.060000000000000005,5,0.200838804628947,0.3035800309820785,0.96,-0.19231556088260718,6.0,0.030959619905095867,6.0,0.028605283549610717,6.0,0.322076387382634,0.31900481777162754
0.25,0.060000000000000005,6,0.200838804628947,0.37619566699886425,1.185,-0.18844412416899825,6.0,0.04660430313520981,6.0,0.04306608767172106,6.0,0.3316758716794952,0.3278712419733466
0.25,0.060000000000000005,7,0.200838804628947,0.4493437259462129,1.395,-0.18356399610812832,6.0,0.0649932070220002,6.0,0.06006877044677406,6.0,0.3431946359956609,0.3384956693551491
0.25,0.060000000000000005,8,0.200838804628947,0.5220906998770474,1.6199999999999999,-0.17747620419359425,6.0,0.08618704500096791,6.0,0.07967241323036117,6.0,0.35678612260653725,0.3510131996127196
0.25,0.060000000000000005,9,0.200838804628947,0.5935211237740915,1.845,-0.1699286978444492,6.0,0.11025343817425325,6.0,0.10194325746926346,6.0,0.3726296988127707,0.3655821453919067
0.25,0.060000000000000005,10,0.200838804628947,0.6633576815015662,2.0549999999999997,-0.1606041839676926,6.0,0.13726617364411886,6.0,0.12695414989715215,6.0,0.39093193527524217,0.3823853928253287
0.25,0.060000000000000005,11,0.200838804628947,0.7316827574004781,2.295,-0.14910489080196096,6.0,0.16730435256151305,6.0,0.1547838948045978,6.0,0.4119278056713266,0.4016317748767241
0.25,0.060000000000000005,12,0.200838804628947,0.7986355152695879,2.52,-0.13493364213292625,6.0,0.20045142538191763,6.0,0.1855165077073213,6.0,0.4358816950372041,0.4235573779188919
0.25,0.07,3,0.19421355425276188,0.18013690060402804,0.5549999999999999,-0.19092340810461506,6.0,0.007753308976028636,6.0,0.00706900056015282,6.0,0.31485258666727944,0.3127187039074334
0.25,0.07,4,0.19421355425276188,0.24509090209749293,0.765,-0.18859110202633325,6.0,0.01813431540873725,6.0,0.016535416331985155,6.0,0.3210337033484148,0.31837024541956815
0.25,0.07,5,0.19421355425276188,0.3150528612346906,0.96,-0.18551203898984886,6.0,0.031179584294860237,6.0,0.028434117954641857,6.0,0.32891598274724737,0.32556832263930935
0.25,0.07,6,0.19421355425276188,0.38778894279964093,1.185,-0.18156576824903323,6.0,0.04693416935056906,6.0,0.04280825747093729,6.0,0.3386058369744643,0.3344043373345265
0.25,0.07,7,0.19421355425276188,0.46116533365624246,1.395,-0.1765956904397168,6.0,0.06545116676600106,6.0,0.05970896466714376,6.0,0.3502333553791118,0.3449902211667488
0.25,0.07,8,0.19421355425276188,0.5341299776495593,1.6199999999999999,-0.17040152087051616,6.0,0.08679116945584717,6.0,0.07919497046322656,6.0,0.36395348049452547,0.35745958949389856
0.25,0.07,9,0.19421355425276188,0.6057927568757022,1.845,-0.1627296500310453,6.0,0.11102161744443804,6.0,0.1013321514728262,6.0,0.37994725723702494,0.3719690158178305
0.25,0.07,10,0.19421355425276188,0.6758721887200219,2.07,-0.15326096418257665,6.0,0.13821604031444648,6.0,0.12619298954208796,6.0,0.398423083762493,0.38869938223352635
0.25,0.07,11,0.19421355425276188,0.7444144724503057,2.295,-0.1415956012919992,6.0,0.1684531883928464,6.0,0.15385594008968187,6.0,0.4196178720363656,0.4078572465556572
0.25,0.07,12,0.19421355425276188,0.8115836496681872,2.52,-0.12723403110269166,6.0,0.20181605059229518,6.0,0.18440470345813267,6.0,0.4437980025808582,0.42967614892782163
0.25,0.08,3,0.1879209255028374,0.19075486957010768,0.5549999999999999,-0.18456437303870055,6.0,0.007808474349748844,6.0,0.007026698908571973,6.0,0.3212283153081061,0.31898980171997626
0.25,0.08,4,0.1879209255028374,0.2558952785096008,0.765,-0.18218674495928644,6.0,0.018263025491731668,6.0,0.016436426641425736,6.0,0.32746631964787415,0.32462297287880926
0.25,0.08,5,0.1879209255028374,0.32603340566546085,0.96,-0.1790498199620526,6.0,0.03140019660335192,6.0,0.028263819149142253,6.0,0.33542137863871296,0.33179663611254206
0.25,0.08,6,0.1879209255028374,0.3988798173488572,1.185,-0.17503230198950656,6.0,0.04726499684672145,6.0,0.04255174806347706,6.0,0.34520100991932523,0.34060119691995244
0.25,0.08,7,0.1879209255028374,0.4724737264374876,1.395,-0.16997653947620797,6.0,0.06591044396027423,6.0,0.059351025744928336,6.0,0.3569366173869801,0.35114736447410616
0.25,0.08,8,0.1879209255028374,0.5456522519138451,1.6199999999999999,-0.16368097011318034,6.0,0.08739700549554763,6.0,0.07872003917321028,6.0,0.3707846549972779,0.3635672933774918
0.25,0.08,9,0.1879209255028374,0.6175431946411146,1.845,-0.15589046252392771,6.0,0.11179193457503012,6.0,0.10072430679780761,6.0,0.3869278570097667,0.3780158465545973
0.25,0.08,10,0.1879209255028374,0.6878508466029212,2.07,-0.14628412031230476,6.0,0.139168496398364,6.0,0.12543595213099146,6.0,0.40557646076531284,0.3946719360896018
0.25,0.08,11,0.1879209255028374,0.7566135845412321,2.295,-0.13446002793349804,6.0,0.16960508253564238,6.0,0.1529330878440259,6.0,0.42696932739599014,0.41373988453938626
0.25,0.08,12,0.1879209255028374,0.823992325328433,2.52,-0.11991633375526206,6.0,0.20318421136255263,6.0,0.1832991044692458,6.0,0.45137484201792766,0.4354507318419246
0.25,0.09,3,0.18193271735049915,0.2009968723260054,0.5549999999999999,-0.17851288136264037,6.0,0.00786382628853899,6.0,0.006984619580593057,6.0,0.3272990867425575,0.32495564959510687
0.25,0.09,4,0.18193271735049915,0.2662886563002498,0.765,-0.1760920452486634,6.0,0.018392167721090067,6.0,0.016337960661805626,6.0,0.3335936338113294,0.33056980288137444
0.25,0.09,5,0.18193271735049915,0.33656044035774696,0.975,-0.17289993632438427,6.0,0.03162154280789191,6.0,0.028094428527138327,6.0,0.34162105538562976,0.33771826327946747
0.25,0.09,6,0.18193271735049915,0.4095191564499373,1.185,-0.16881443604021457,6.0,0.04759691244711224,6.0,0.042296619142284546,6.0,0.35148998364500306,0.34649045465242356
0.25,0.09,7,0.18193271735049915,0.48332013925088685,1.395,-0.16367686693467223,6.0,0.0663712112704884,6.0,0.05899503272476661,6.0,0.3633331473497453,0.3569958821339616
0.25,0.09,8,0.18193271735049915,0.5567089266886568,1.6199999999999999,-0.15728441804887783,6.0,0.0880047757834342,6.0,0.07824771791470767,6.0,0.37730852312526814,0.369365262257953
0.25,0.09,9,0.18193271735049915,0.6288243754682076,1.845,-0.1493804666065362,6.0,0.11256466542179487,6.0,0.1001198406642576,6.0,0.3936005462490881,0.38375177472660355
0.25,0.09,10,0.18193271735049915,0.6993557620733003,2.07,-0.13964236391892154,6.0,0.1401238730605998,6.0,0.12468317160488539,6.0,0.41242130468049143,0.40033239403788146
0.25,0.09,11,0.18193271735049915,0.7683336032413116,2.295,-0.1276661690533664,6.0,0.1707604223893008,6.0,0.15201548559652683,6.0,0.4340116190567096,0.4193092453074664
0.25,0.09,12,0.18193271735049915,0.8359159012047324,2.52,-0.11294773210765245,6.0,0.2045563509558335,6.0,0.1821998674602466,6.0,0.4586418872806268,0.44091091165770624
0.25,0.1,3,0.1762246295808364,0.2109056037999737,0.5549999999999999,-0.1727443741118428,6.0,0.007919384117279684,6.0,0.006942771408999045,6.0,0.3330892973751994,0.33064064159034945
0.25,0.1,4,0.1762246295808364,0.2763149596050263,0.765,-0.17028226734189195,6.0,0.01852178668522634,6.0,0.016240038470869928,6.0,0.33944010673420216,0.33623520420438874
0.25,0.1,5,0.1762246295808364,0.34665041301689625,0.975,-0.16703742710288455,6.0,0.03184369826665793,6.0,0.027925979372582278,6.0,0.34753955486403326,0.3433577658182081
0.25,0.1,6,0.1762246295808364,0.41975046969401253,1.185,-0.16288693192455236,6.0,0.047930027244281144,6.0,0.042042918601665216,6.0,0.3574973976775218,0.3520967828726846
0.25,0.1,7,0.1762246295808364,0.4937483687010283,1.395,-0.1576711007423245,6.0,0.06683361983735381,6.0,0.05864104885679614,6.0,0.36944769925973675,0.36256057431961286
0.25,0.1,8,0.1762246295808364,0.5673439462301042,1.6199999999999999,-0.1511858980894849,6.0,0.08861467506306402,6.0,0.07777808528463527,6.0,0.3835499702261467,0.3748784404991819
0.25,0.1,9,0.1762246295808364,0.6396807103549732,1.845,-0.143173234575947,6.0,0.11334005102027055,6.0,0.0995188461633063,6.0,0.39999035849402426,0.3892019041583682
0.25,0.1,10,0.1762246295808364,0.7104319943834991,2.07,-0.13330873302906232,6.0,0.14108245934927474,6.0,0.12393475377217271,6.0,0.4189828138339894,0.4057060332065142
0.25,0.1,11,0.1762246295808364,0.7796203138542122,2.295,-0.12118644783797511,6.0,0.17191954566887355,6.0,0.151103249100067,6.0,0.44077012622625855,0.42459079130042326
0.25,0.1,12,0.1762246295808364,0.8474009050373932,2.52,-0.10629994574877191,6.0,0.20593285525193888,6.0,0.18110711429902596,6.0,0.465624713709785,0.4460823458237673
0.25,0.11,3,0.17077551516457626,0.22051750041800536,0.5549999999999999,-0.16723747898752056,6.0,0.007975164968944846,6.0,0.006901161540159633,6.0,0.33862017835467995,0.33606600621448945
0.25,0.11,4,0.17077551516457626,0.2860120924567284,0.765,-0.16473588519727955,6.0,0.0186519218975857,6.0,0.01614267628880281,6.0,0.3450270259802336,0.3416404701998357
0.25,0.11,5,0.17077551516457626,0.356385961825337,0.975,-0.16144056999309675,6.0,0.032066729723132535,6.0,0.027758498522093836,6.0,0.3531982354937793,0.34873651766120795
0.25,0.11,6,0.17077551516457626,0.4296113283909865,1.185,-0.1572278257259254,6.0,0.048264439563586434,6.0,0.04179068496249629,6.0,0.36324469589778324,0.35744165143952655
0.25,0.11,7,0.17077551516457626,0.5037962077500183,1.395,-0.15193698652690388,6.0,0.06729780332296519,6.0,0.05828912485350088,6.0,0.3753018171963609,0.36786302161651263
0.25,0.11,8,0.17077551516457626,0.5775952317217827,1.6199999999999999,-0.14536281236347426,6.0,0.08922687539326911,6.0,0.0773112040535746,6.0,0.3895306553776454,0.380128533472466
0.25,0.11,9,0.17077551516457626,0.6501505321178146,1.845,-0.13724576707798575,6.0,0.11411830409580806,6.0,0.09892139727518852,6.0,0.4061190825648086,0.3943880780817645
0.25,0.11,10,0.17077551516457626,0.7211184496924137,2.07,-0.1272597631281091,6.0,0.14204451004447982,6.0,0.12319078219264198,6.0,0.4252829213016678,0.4108148464817769
0.25,0.11,11,0.17077551516457626,0.7905132649417512,2.295,-0.11499686450646407,6.0,0.17308274963034892,6.0,0.15019646902391107,6.0,0.4472669402758505,0.42960667521792806
0.25,0.11,12,0.17077551516457626,0.8584875416632822,2.52,-0.09994836244626065,6.0,0.20731406335928398,6.0,0.18002093940535338,6.0,0.47234558422028483,0.4509873549639364
0.25,0.12000000000000001,3,0.1655668095552103,0.22986390887956584,0.5549999999999999,-0.16197343361104155,6.0,0.008031184175298633,6.0,0.006859795762117815,6.0,0.3439103685156133,0.3412503793296016
0.25,0.12000000000000001,4,0.1655668095552103,0.2954130441560857,0.765,-0.15943400141511482,6.0,0.018782608699900682,6.0,0.016045887230005534,6.0,0.3503730802207574,0.34680429345524033
