Omega_over_gamma,Delta_over_gamma,low_rank_winner,low_rank_min,best_high_k,best_high_gap,higher_rank_margin,global_winner_among_1_to_Kmax
0.253125,0.07200000000000001,1,0.20495681098934465,3,0.30290699605656773,0.09795018506722308,1
0.253125,0.0724,1,0.20462381266109686,3,0.3029467043335576,0.09832289167246072,1
0.253125,0.0728,1,0.20429244595966636,3,0.3029866318889198,0.09869418592925341,1
0.253125,0.0732,1,0.2039626832853153,3,0.3030267787065084,0.0990640954211931,1
0.253125,0.0736,1,0.20363449789221236,3,0.30306714476996766,0.0994326468777553,1
0.253125,0.07400000000000001,1,0.20330786385228072,3,0.30310773006273406,0.09979986621045334,1
0.253125,0.07440000000000001,1,0.20298275602095175,3,0.3031485345680233,0.10016577854707157,1
0.253125,0.0748,1,0.20265915000472023,3,0.3031895582688387,0.10053040826411846,1
0.253125,0.0752,1,0.2023370221303747,3,0.30323080114796036,0.10089377901758567,1
0.253125,0.0756,1,0.20201634941581123,3,0.3032722631879546,0.10125591377214335,1
0.253125,0.076,1,0.20169710954232145,3,0.303313944371157,0.10161683482883554,1
0.253125,0.0764,1,0.20137928082827733,3,0.3033558446796831,0.10197656385140574,1
0.253125,0.07680000000000001,1,0.20106284220411655,3,0.30339796409541997,0.10233512189130342,1
0.253125,0.0772,1,0.20074777318856596,3,0.303440302600025,0.10269252941145907,1
0.253125,0.0776,1,0.20043405386601115,3,0.30348286017492376,0.10304880630891261,1
0.253125,0.078,1,0.20012166486496646,3,0.30352563680130773,0.10340397193634127,1
0.253125,0.0784,1,0.19981058733756282,3,0.3035686324601322,0.10375804512256939,1
0.253125,0.0788,1,0.19950080294001088,3,0.3036118471321162,0.10411104419210532,1
0.253125,0.07919999999999999,1,0.19919229381397377,3,0.30365528079773685,0.10446298698376308,1
0.253125,0.0796,1,0.19888504256880407,3,0.30369893343722637,0.1048138908684223,1
0.253125,0.08,1,0.1985790322645929,3,0.30374280503057505,0.10516377276598216,1
0.253125,0.0804,1,0.19827424639599306,3,0.3037868955575288,0.10551264916153574,1
0.253125,0.0808,1,0.19797066887676587,3,0.30383120499757355,0.10586053612080767,1
0.253125,0.0812,1,0.19766828402501985,3,0.3038757333299542,0.10620744930493436,1
0.253125,0.08159999999999999,1,0.19736707654910046,3,0.30392048053365517,0.1065534039845547,1
0.253125,0.08199999999999999,1,0.19706703153409644,3,0.30396544658740643,0.10689841505330999,1
0.253125,0.0824,1,0.19676813442893176,3,0.30401063146968044,0.10724249704074867,1
0.253125,0.0828,1,0.19647037103401738,3,0.30405603515868473,0.10758566412466736,1
0.253125,0.0832,1,0.19617372748941864,3,0.30410165763236663,0.10792793014294799,1
0.253125,0.0836,1,0.195878190263531,3,0.304147498868407,0.10826930860487596,1
0.253125,0.08399999999999999,1,0.19558374614222868,3,0.30419355884421445,0.10860981270198578,1
0.253125,0.08439999999999999,1,0.19529038221846012,3,0.30423983753693273,0.10894945531847261,1
0.253125,0.08479999999999999,1,0.19499808588227352,3,0.3042863349234279,0.10928824904115436,1
0.253125,0.0852,1,0.1947068448112509,3,0.3043330509802966,0.10962620616904573,1
0.253125,0.0856,1,0.1944166469613261,3,0.30437998568384544,0.10996333872251934,1
0.253125,0.086,1,0.19412748055797385,3,0.30442713901011176,0.1102996584521379,1
0.25375,0.07,1,0.20945982082347722,3,0.30292073437481504,0.09346091355133782,1
0.25375,0.0704,1,0.2090942954879019,3,0.3029591803679868,0.0938648848800849,1
0.25375,0.0708,1,0.2087310325492934,3,0.30299784475016994,0.09426681220087654,1
0.25375,0.0712,1,0.2083699838600322,3,0.30303672750591315,0.09466674364588096,1
0.25375,0.07160000000000001,1,0.20801110305459675,3,0.3030758286195612,0.09506472556496448,1
0.25375,0.07200000000000001,1,0.20765434546009637,3,0.3031151480752572,0.09546080261516082,1
0.25375,0.0724,1,0.20729966801241756,3,0.30315468585694494,0.09585501784452738,1
0.25375,0.0728,1,0.2069470291775647,3,0.30319444194835526,0.09624741277079057,1
0.25375,0.0732,1,0.20659638887781773,3,0.303234416333016,0.09663802745519828,1
0.25375,0.0736,1,0.20624770842233836,3,0.3032746089942417,0.09702690057190333,1
0.25375,0.07400000000000001,1,0.20590095044192033,3,0.30331501991513565,0.09741406947321532,1
0.25375,0.07440000000000001,1,0.2055560788275788,3,0.3033556490785854,0.09779957025100663,1
0.25375,0.0748,1,0.20521305867270692,3,0.30339649646726624,0.09818343779455932,1
0.25375,0.0752,1,0.2048718562185559,3,0.30343756206363,0.0985657058450741,1
0.25375,0.0756,1,0.20453243880281177,3,0.3034788458499124,0.09894640704710064,1
0.25375,0.076,1,0.20419477481105097,3,0.30352034780812215,0.09932557299707118,1
0.25375,0.0764,1,0.20385883363088927,3,0.3035620679200476,0.09970323428915831,1
0.25375,0.07680000000000001,1,0.20352458560863743,3,0.30360400616724675,0.10007942055860933,1
0.25375,0.0772,1,0.20319200200831072,3,0.3036461625310502,0.10045416052273948,1
0.25375,0.0776,1,0.2028610549728285,3,0.303688536992559,0.10082748201973049,1
0.25375,0.078,1,0.20253171748726265,3,0.3037311295326354,0.10119941204537278,1
0.25375,0.0784,1,0.20220396334402485,3,0.3037739401319144,0.10156997678788954,1
0.25375,0.0788,1,0.20187776710983768,3,0.3038169687707871,0.10193920166094944,1
0.25375,0.07919999999999999,1,0.20155310409441493,3,0.3038602154294077,0.10230711133499279,1
0.25375,0.0796,1,0.20122995032071386,3,0.3039036800876842,0.10267372976697034,1
0.25375,0.08,1,0.20090828249669312,3,0.3039473627252875,0.10303908022859437,1
0.25375,0.0804,1,0.20058807798845824,3,0.3039912633216333,0.10340318533317505,1
0.25375,0.0808,1,0.20026931479473797,3,0.3040353818558977,0.1037660670611597,1
0.25375,0.0812,1,0.1999519715225947,3,0.3040797183069966,0.1041277467844019,1
0.25375,0.08159999999999999,1,0.19963602736430053,3,0.3041242726536011,0.10448824528930056,1
