Omega_over_gamma,Delta_over_gamma,winner_k,global_gap_over_gamma
0.2783333333333333,0.05,1,0.25873659583885156
0.28027777777777774,0.05,1,0.2585897661543708
0.2822222222222222,0.05,1,0.2584473802419435
0.2841666666666667,0.05,1,0.25830922034475073
0.2861111111111111,0.05,1,0.258175084229719
0.2880555555555555,0.05,1,0.2580447837232668
0.29,0.05,1,0.25791814341786173
0.29194444444444445,0.05,1,0.25779499952582136
0.29388888888888887,0.05,1,0.2576751988605216
0.29583333333333334,0.05,1,0.257558597928237
0.2977777777777778,0.05,1,0.2574450621163872
0.2997222222222222,0.05,1,0.2573344649660605
0.30166666666666664,0.05,1,0.2572266875184325
0.3036111111111111,0.05,1,0.25712161772618325
0.3055555555555556,0.05,1,0.2570191499222364
0.3075,0.05,1,0.25691918433919736
0.3094444444444444,0.05,1,0.2568216266737407
0.3113888888888889,0.05,1,0.2567263876909485
0.31333333333333335,0.05,1,0.25663338286425574
0.31527777777777777,0.05,1,0.25654253204718
0.3172222222222222,0.05,1,0.25645375917350555
0.31916666666666665,0.05,1,0.2563669919829869
0.3211111111111111,0.05,1,0.2562821617699839
0.32305555555555554,0.05,1,0.2561992031527491
0.32499999999999996,0.05,1,0.2561180538613423
0.3269444444444444,0.05,1,0.2560386545423882
0.3288888888888889,0.05,1,0.2559609485790756
0.3308333333333333,0.05,1,0.25588488192498227
0.33277777777777773,0.05,1,0.25581040295046414
0.3347222222222222,0.05,1,0.25573746230046956
0.33666666666666667,0.05,1,0.2556660127627669
0.3386111111111111,0.05,1,0.2555960091456794
0.34055555555555556,0.05,1,0.25552740816450314
0.3425,0.05,1,0.2554601683358744
0.34444444444444444,0.05,1,0.25539424987942594
0.34638888888888886,0.05,1,0.2553296146261236
0.34833333333333333,0.05,1,0.2552662259327453
0.3502777777777778,0.05,1,0.25520404860201973
0.3522222222222222,0.05,1,0.2551430488079564
0.35416666666666663,0.05,1,0.25508319402598356
0.3561111111111111,0.05,1,0.2550244529675162
0.35805555555555557,0.05,1,0.2549667955186149
0.36,0.05,1,0.25491019268243753
0.3619444444444444,0.05,1,0.2548546165251949
0.3638888888888889,0.05,1,0.25480004012536495
0.36583333333333334,0.05,1,0.25474643752591875
0.36777777777777776,0.05,1,0.25469378368935647
0.3697222222222222,0.05,1,0.25464205445534727
