Omega_over_gamma,Delta_over_gamma,winner_k,global_gap_over_gamma
3.4000000000000004,0.05,1,0.2500540543067009
3.45,0.05,1,0.2500524991814856
3.5,0.05,1,0.2500510102102842
3.5500000000000003,0.05,1,0.2500495836936172
3.6,0.05,1,0.2500482161870261
3.6500000000000004,0.05,1,0.2500469044802709
3.7,0.05,1,0.2500456455784641
3.75,0.05,1,0.2500444366849815
3.8000000000000003,0.05,1,0.2500432751859041
3.85,0.05,1,0.25004215863588863
3.9000000000000004,0.05,1,0.2500410847452869
3.95,0.05,1,0.2500400513683978
4.0,0.05,1,0.2500390564927456
4.05,0.05,1,0.2500380982292749
4.1000000000000005,0.05,1,0.25003717480337645
4.15,0.05,1,0.25003628454666893
4.2,0.05,1,0.2500354258894597
4.25,0.05,1,0.2500345973538232
4.3,0.05,1,0.25003379754722843
4.3500000000000005,0.05,1,0.25003302515669734
4.4,0.05,1,0.25003227894340974
4.45,0.05,1,0.25003155773773056
4.5,0.05,1,0.25003086043462464
4.55,0.05,1,0.2500301859894254
4.6000000000000005,0.05,1,0.25002953341392065
4.65,0.05,1,0.2500289017727262
4.7,0.05,1,0.25002829017993644
4.75,0.05,1,0.25002769779601486
4.800000000000001,0.05,1,0.250027123824915
4.8500000000000005,0.05,1,0.250026567511403
4.9,0.05,1,0.25002602813856906
4.95,0.05,1,0.2500255050255232
5.0,0.05,1,0.2500249975252401
0.0,0.1,1,0.5
0.05,0.1,1,0.004851120799133371
0.1,0.1,1,0.01996540279061551
0.15000000000000002,0.1,1,0.04739878408562381
0.2,0.1,1,0.09260524638075412
0.25,0.1,1,0.1762246295808364
0.30000000000000004,0.1,1,0.28621588981745066
0.35000000000000003,0.1,1,0.2722806323420722
0.4,0.1,1,0.2661391604048986
0.45,0.1,1,0.26245875351214537
0.5,0.1,1,0.2599834172554195
0.55,0.1,1,0.2582085366620711
0.6000000000000001,0.1,1,0.2568812100587426
0.65,0.1,1,0.255857826844598
0.7000000000000001,0.1,1,0.2550499741935051
0.75,0.1,1,0.2544000341601294
0.8,0.1,1,0.2538688248841589
0.8500000000000001,0.1,1,0.253428799206881
0.9,0.1,1,0.25306006018427407
0.9500000000000001,0.1,1,0.25274791015036074
1.0,0.1,1,0.2524812828294891
1.05,0.1,1,0.2522517074337637
1.1,0.1,1,0.25205260540729535
1.1500000000000001,0.1,1,0.25187880177727434
1.2000000000000002,0.1,1,0.25172617870274716
1.25,0.1,1,0.2515914254454369
1.3,0.1,1,0.25147185506062564
1.35,0.1,1,0.2513652680915459
1.4000000000000001,0.1,1,0.2512698499127779
1.4500000000000002,0.1,1,0.251184092513294
1.5,0.1,1,0.25110673426475705
1.55,0.1,1,0.25103671308480435
1.6,0.1,1,0.2509731296868656
1.6500000000000001,0.1,1,0.2509152185026417
1.7000000000000002,0.1,1,0.250862324496078
1.75,0.1,1,0.2508138845407815
1.8,0.1,1,0.2507694123610542
1.85,0.1,1,0.2507284862770134
1.9000000000000001,0.1,1,0.25069073917191687
1.9500000000000002,0.1,1,0.25065585023241926
2.0,0.1,1,0.2506235381122322
2.0500000000000003,0.1,1,0.25059355524542987
2.1,0.1,1,0.25056568309350524
2.15,0.1,1,0.25053972815490005
2.2,0.1,1,0.2505155186002913
2.25,0.1,1,0.250492901423915
2.3000000000000003,0.1,1,0.250471740022401
2.35,0.1,1,0.2504519121293098
2.4000000000000004,0.1,1,0.25043330804686903
2.45,0.1,1,0.25041582912702703
2.5,0.1,1,0.2503993864624152
2.5500000000000003,0.1,1,0.25038389975473396
2.6,0.1,1,0.2503692963335773
2.6500000000000004,0.1,1,0.2503555103032846
2.7,0.1,1,0.2503424817990546
2.75,0.1,1,0.2503301563366461
2.8000000000000003,0.1,1,0.2503184842424196
2.85,0.1,1,0.25030742015258944
2.9000000000000004,0.1,1,0.25029692257224445
2.95,0.1,1,0.2502869534861145
3.0,0.1,1,0.25027747801427214
3.0500000000000003,0.1,1,0.25026846410690773
3.1,0.1,1,0.2502598822732418
3.1500000000000004,0.1,1,0.2502517053402249
3.2,0.1,1,0.2502439082373842
3.25,0.1,1,0.2502364678045996
3.3000000000000003,0.1,1,0.25022936262008644
3.35,0.1,1,0.25022257284616667
3.4000000000000004,0.1,1,0.2502160800907734
3.45,0.1,1,0.2502098672828792
3.5,0.1,1,0.25020391856026547
