Omega_over_gamma,Delta_over_gamma,gap1_over_gamma,gap2_over_gamma,low_rank_min,low_rank_winner,best_high_k,best_high_gap,higher_rank_margin,global_winner_among_1_to_Kmax
0.25166666666666665,0.0708,0.19995582943079726,0.27709211614346796,0.19995582943079726,1,3,0.30230417805923376,0.1023483486284365,1
0.25166666666666665,0.07106666666666667,0.19975935054507285,0.2771436491698581,0.19975935054507285,1,3,0.3023304516003537,0.10257110105528086,1
0.25166666666666665,0.07133333333333333,0.19956332099043694,0.2771953852352655,0.19956332099043694,1,3,0.3023568236409306,0.10279350265049364,1
0.25166666666666665,0.07160000000000001,0.19936773732101332,0.2772473244364708,0.19936773732101332,1,3,0.302383294176634,0.1030155568556207,1
0.25166666666666665,0.07186666666666668,0.19917259614641813,0.27729946687044016,0.19917259614641813,1,3,0.3024098632030942,0.10323726705667607,1
0.25166666666666665,0.07213333333333334,0.19897789413048728,0.2773518126343189,0.19897789413048728,1,3,0.30243653071590093,0.10345863658541365,1
0.25166666666666665,0.0724,0.19878362799003518,0.27740436182543177,0.19878362799003518,1,3,0.3024632967106005,0.10367966872056533,1
0.25166666666666665,0.07266666666666667,0.1985897944936525,0.2774571145412766,0.1985897944936525,1,3,0.302490161182701,0.1039003666890485,1
0.25166666666666665,0.07293333333333334,0.19839639046054044,0.27751007087952717,0.19839639046054044,1,3,0.3025171241276676,0.10412073366712718,1
0.25166666666666665,0.0732,0.19820341275937298,0.27756323093802465,0.19820341275937298,1,3,0.3025441855409267,0.10434077278155374,1
0.25166666666666665,0.07346666666666667,0.1980108583071971,0.27761659481477835,0.1980108583071971,1,3,0.302571345417861,0.1045604871106639,1
0.25166666666666665,0.07373333333333333,0.19781872406835865,0.2776701626079586,0.19781872406835865,1,3,0.3025986037538107,0.10477987968545205,1
0.25166666666666665,0.07400000000000001,0.1976270070534606,0.2777239344158972,0.1976270070534606,1,3,0.3026259605440738,0.10499895349061322,1
0.25166666666666665,0.07426666666666668,0.1974357043183509,0.27777791033708515,0.1974357043183509,1,3,0.30265341578390764,0.10521771146555675,1
