Omega_center,Delta_center,halfwidth,depth,winner_side,box_status,passed,sigma_minus_diff
0.26566249999999997,0.08398749999999999,1.25e-05,2,1,certified_box,True,0.022629445871785725
0.2656875,0.0839625,1.25e-05,2,2,crosses_boundary,False,
0.2656875,0.08398749999999999,1.25e-05,2,1,crosses_boundary,False,
0.26565625,0.08390625,6.25e-06,3,1,crosses_boundary,False,
0.26565625,0.08391875,6.25e-06,3,1,crosses_boundary,False,
0.26566874999999995,0.08390625,6.25e-06,3,2,certified_box,True,0.02194309503509209
0.26566874999999995,0.08391875,6.25e-06,3,2,crosses_boundary,False,
0.26565625,0.08393125,6.25e-06,3,1,certified_box,True,0.02224966001854011
0.26565625,0.08394375,6.25e-06,3,1,certified_box,True,0.022440835291024534
0.26566874999999995,0.08393125,6.25e-06,3,2,crosses_boundary,False,
0.26566874999999995,0.08394375,6.25e-06,3,1,crosses_boundary,False,
0.26565625,0.08395625,6.25e-06,3,1,certified_box,True,0.0226265965748849
0.26565625,0.08396875,6.25e-06,3,1,certified_box,True,0.022807359174790157
0.26566874999999995,0.08395625,6.25e-06,3,1,crosses_boundary,False,
0.26566874999999995,0.08396875,6.25e-06,3,1,certified_box,True,0.022357506964009906
0.26568125000000004,0.08395625,6.25e-06,3,2,crosses_boundary,False,
0.26568125000000004,0.08396875,6.25e-06,3,1,crosses_boundary,False,
0.26569375,0.08395625,6.25e-06,3,2,certified_box,True,0.02194413580600231
0.26569375,0.08396875,6.25e-06,3,2,certified_box,True,0.0219430363829219
0.26568125000000004,0.08398125,6.25e-06,3,1,crosses_boundary,False,
0.26568125000000004,0.08399374999999999,6.25e-06,3,1,certified_box,True,0.022273892316222083
0.26569375,0.08398125,6.25e-06,3,2,crosses_boundary,False,
0.26569375,0.08399374999999999,6.25e-06,3,2,crosses_boundary,False,
0.265653125,0.083903125,3.125e-06,4,1,crosses_boundary,False,
0.265653125,0.08390937500000001,3.125e-06,4,1,certified_box,True,0.022107816877728875
0.265659375,0.083903125,3.125e-06,4,2,crosses_boundary,False,
0.265659375,0.08390937500000001,3.125e-06,4,2,crosses_boundary,False,
0.265653125,0.083915625,3.125e-06,4,1,certified_box,True,0.022205620599662995
0.265653125,0.083921875,3.125e-06,4,1,certified_box,True,0.02230197122509697
0.265659375,0.083915625,3.125e-06,4,1,crosses_boundary,False,
0.265659375,0.083921875,3.125e-06,4,1,crosses_boundary,False,
0.26566562499999996,0.083915625,3.125e-06,4,2,certified_box,True,0.02195265628651932
