Omega_over_gamma,Delta_over_gamma,k,alpha_over_gamma,min_sigma_min_Mk_on_boundary,y_at_min_sigma,min_abs_det_Mk_on_boundary,y_at_min_abs_det
0.25,0.11,9,0.17077551516457626,0.28737865436694005,1.8,11.66695770204766,0.0
0.25,0.11,10,0.17077551516457626,0.3127603166003053,2.025,17.152301079633407,0.0
0.25,0.11,11,0.17077551516457626,0.3369844371994312,2.25,24.58887639108853,0.0
0.25,0.11,12,0.17077551516457626,0.36019249910915535,2.475,34.48554333491278,0.0
0.25,0.12000000000000001,3,0.1655668095552103,0.11822650711957941,0.55,0.3631968991538482,0.5
0.25,0.12000000000000001,4,0.1655668095552103,0.14686925344168766,0.75,0.802209278618582,0.7000000000000001
0.25,0.12000000000000001,5,0.1655668095552103,0.17707651482272502,0.9500000000000001,1.5778492868430163,0.875
0.25,0.12000000000000001,6,0.1655668095552103,0.20764377605528914,1.175,2.859271908058887,1.05
0.25,0.12000000000000001,7,0.1655668095552103,0.2370278398571749,1.375,4.85444255584884,1.25
0.25,0.12000000000000001,8,0.1655668095552103,0.26542336245048487,1.6,7.7966570849261085,0.0
0.25,0.12000000000000001,9,0.1655668095552103,0.2923841006366702,1.8,11.790376103806294,0.0
0.25,0.12000000000000001,10,0.1655668095552103,0.31779383273624257,2.025,17.315561412972745,0.0
0.25,0.12000000000000001,11,0.1655668095552103,0.3420402001159643,2.25,24.80084463834705,0.0
0.25,0.12000000000000001,12,0.1655668095552103,0.3652654230532252,2.475,34.75641482344934,0.0
0.25,0.13,3,0.16058208808086727,0.12347601257060846,0.55,0.38303531395599494,0.5
0.25,0.13,4,0.16058208808086727,0.151903368417982,0.75,0.8354687054686141,0.675
0.25,0.13,5,0.16058208808086727,0.18197207131946602,0.9500000000000001,1.6317007482617663,0.875
0.25,0.13,6,0.16058208808086727,0.21248407911129052,1.175,2.9386784661484704,1.05
0.25,0.13,7,0.16058208808086727,0.2418554802892698,1.375,4.9690908483645275,1.225
0.25,0.13,8,0.16058208808086727,0.2702726899950126,1.6,7.885539410354296,0.0
0.25,0.13,9,0.16058208808086727,0.29723331987052654,1.8,11.910369872180887,0.0
0.25,0.13,10,0.16058208808086727,0.32267170136793843,2.025,17.473956894495654,0.0
0.25,0.13,11,0.16058208808086727,0.34694068064095035,2.25,25.00608119997558,0.0
0.25,0.13,12,0.16058208808086727,0.3701831828992429,2.475,35.0181819527165,0.0
0.25,0.14,3,0.15580671780813335,0.1286140808135185,0.55,0.4030595312164709,0.5
