k,Omega_lo,Omega_hi,Delta_lo,Delta_hi,alpha_upper_lowrank,Yim_bound,sigma_center_min,sigma_scan_lower,sigma_global_lower,y_at_min,param_pert,higher_rank_margin,passed
5,0.2700000000000001,0.2800000000000001,0.09000000000000001,0.1,0.2552301773845622,1.4866068747318508,0.11396826627804345,0.11179750768462858,0.11179750768462858,1.072354745146918,0.05000000000000001,0.06179750768462857,True
5,0.2700000000000001,0.2800000000000001,0.1,0.11000000000000001,0.23409910854972824,1.5041608956491326,0.1325270143765096,0.13033431325694822,0.13033431325694822,1.070038146345971,0.050000000000000044,0.08033431325694818,True
5,0.2700000000000001,0.2800000000000001,0.11000000000000001,0.12000000000000001,0.21990595313102274,1.5231546211727829,0.14523062361710645,0.14301418034064048,0.14301418034064048,1.068325659256602,0.05000000000000001,0.09301418034064046,True
5,0.2800000000000001,0.2900000000000001,0.05,0.060000000000000005,0.25791814341786146,1.4807092894960854,0.11626266122845247,0.11409927461658237,0.11409927461658237,1.1163074917249753,0.05000000000000003,0.06409927461658234,True
5,0.2800000000000001,0.2900000000000001,0.060000000000000005,0.07,0.2617666847226715,1.4916433890176306,0.11329919022904889,0.11112213599277687,0.11112213599277687,-1.1190058774438276,0.05000000000000003,0.06112213599277684,True
5,0.2800000000000001,0.2900000000000001,0.07,0.08000000000000002,0.26668236366712617,1.5041608956491328,0.10945987593520685,0.10726717481564547,0.10726717481564547,1.1182775709763222,0.050000000000000044,0.05726717481564543,True
5,0.2800000000000001,0.2900000000000001,0.08000000000000002,0.09000000000000001,0.27297703708720644,1.5182226450688987,0.10451808203073787,0.10230780372440174,0.10230780372440174,1.1184008230060785,0.05000000000000001,0.052307803724401726,True
5,0.2800000000000001,0.2900000000000001,0.09000000000000001,0.1,0.2812075871335372,1.5337861650177973,0.09800853609232961,0.09577880338605736,0.09577880338605736,-1.1193258185486679,0.05000000000000001,0.04577880338605735,True
5,0.2800000000000001,0.2900000000000001,0.1,0.11000000000000001,0.2858638502555518,1.550806241927083,0.0945933242532269,0.09234231645081807,0.09234231645081807,1.116499869994791,0.050000000000000044,0.04234231645081803,True
5,0.2800000000000001,0.2900000000000001,0.11000000000000001,0.12000000000000001,0.2638768902510054,1.5692354826475223,0.11382241011398914,0.11154836576067978,0.11154836576067978,1.1188298218282262,0.05000000000000001,0.06154836576067977,True
5,0.2900000000000001,0.3000000000000001,0.05,0.060000000000000005,0.25731889823857573,1.529705854077836,0.12289467615996505,0.12067004384236776,0.12067004384236776,-1.161258069785788,0.05000000000000003,0.07067004384236773,True
5,0.2900000000000001,0.3000000000000001,0.060000000000000005,0.07,0.26080982614687237,1.540292180074937,0.1202163443957788,0.11797847917068519,0.11797847917068519,1.163689917048709,0.05000000000000003,0.06797847917068515,True
5,0.2900000000000001,0.3000000000000001,0.07,0.08000000000000002,0.2651927579729801,1.5524174696260045,0.11683279826395654,0.11457977642692407,0.11457977642692407,-1.1625592679087728,0.050000000000000044,0.06457977642692403,True
5,0.2900000000000001,0.3000000000000001,0.08000000000000002,0.09000000000000001,0.2706589685864939,1.5660459763365828,0.11259095026500661,0.11032089279458586,0.11032089279458586,-1.1622694248554128,0.05000000000000001,0.06032089279458585,True
5,0.2900000000000001,0.3000000000000001,0.09000000000000001,0.1,0.27750598991927433,1.5811388300841904,0.10723740666842399,0.10494848313081875,0.10494848313081875,1.162773157103461,0.05000000000000001,0.054948483130818744,True
5,0.2900000000000001,0.3000000000000001,0.1,0.11000000000000001,0.2862158898174506,1.597654530867046,0.10037714089583911,0.09806757273225526,0.09806757273225526,-1.164022354446239,0.050000000000000044,0.04806757273225522,True
5,0.2900000000000001,0.3000000000000001,0.11000000000000001,0.12000000000000001,0.28899016336989897,1.6155494421403522,0.09863042001778492,0.09629848321510952,0.09629848321510952,-1.1659684013377203,0.05000000000000001,0.04629848321510951,True
5,0.3000000000000001,0.3100000000000001,0.05,0.060000000000000005,0.2567941827173406,1.578765340384695,0.12940795141169953,0.1271219947362187,0.1271219947362187,-1.2069851246538987,0.05000000000000003,0.07712199473621868,True
5,0.3000000000000001,0.3100000000000001,0.060000000000000005,0.07,0.2599876407222379,1.5890248582070718,0.12697564296448619,0.12467686189172736,0.12467686189172736,-1.2091588442711498,0.05000000000000003,0.07467686189172733,True
5,0.3000000000000001,0.3100000000000001,0.07,0.08000000000000002,0.2639472650276006,1.6007810593582128,0.12395603484943957,0.1216425585252418,0.1216425585252418,1.2076346412312338,0.050000000000000044,0.07164255852524176,True
5,0.3000000000000001,0.3100000000000001,0.08000000000000002,0.09000000000000001,0.2687979941811272,1.6140012391568976,0.12023993257994194,0.1179099310309958,0.1179099310309958,1.2069408023540913,0.05000000000000001,0.0679099310309958,True
5,0.3000000000000001,0.3100000000000001,0.09000000000000001,0.1,0.2747172778390305,1.6286497474902335,0.11567008155096871,0.11332176936660589,0.11332176936660589,1.207032462762475,0.05000000000000001,0.06332176936660588,True
5,0.3000000000000001,0.3100000000000001,0.1,0.11000000000000001,0.2819582458305533,1.644688420339853,0.11003707728709533,0.10766871676167056,0.10766871676167056,1.2078638679666565,0.050000000000000044,0.05766871676167051,True
5,0.3000000000000001,0.3100000000000001,0.11000000000000001,0.12000000000000001,0.28995353357695,1.6620770138594676,0.10383791222688467,0.10144781595956033,0.10144781595956033,1.2093887112661135,0.05000000000000001,0.05144781595956032,True
5,0.3100000000000001,0.3200000000000001,0.05,0.060000000000000005,0.2563304028825375,1.6278820596099715,0.13580394507135526,0.1334565924968428,0.1334565924968428,1.2534862747896558,0.05000000000000003,0.08345659249684277,True
5,0.3100000000000001,0.3200000000000001,0.060000000000000005,0.07,0.2592714296324594,1.637833935415921,0.13358731169670693,0.13122751927743706,0.13122751927743706,-1.2554095670515875,0.05000000000000003,0.08122751927743703,True
5,0.3100000000000001,0.3200000000000001,0.07,0.08000000000000002,0.2628838732234723,1.6492422502470654,0.13086416774461185,0.12849011493180307,0.12849011493180307,1.253499885163063,0.050000000000000044,0.07849011493180302,True
5,0.3100000000000001,0.3200000000000001,0.08000000000000002,0.09000000000000001,0.2672529625303431,1.6620770138594678,0.12754785357594114,0.1251577573086168,0.1251577573086168,1.2571906366126004,0.05000000000000001,0.07515775730861679,True
5,0.3100000000000001,0.3200000000000001,0.09000000000000001,0.1,0.2724921417405669,1.6763054614240211,0.12354467429949306,0.12113679247271308,0.12113679247271308,-1.2569143135791738,0.05000000000000001,0.07113679247271307,True
5,0.3100000000000001,0.3200000000000001,0.1,0.11000000000000001,0.2787501205285431,1.691892431568864,0.11874640811961037,0.11631904258014927,0.11631904258014927,1.2573753494408395,0.050000000000000044,0.06631904258014923,True
5,0.3100000000000001,0.3200000000000001,0.11000000000000001,0.12000000000000001,0.28621363405638167,1.7088007490635075,0.11300251785408111,0.11055401691775169,0.11055401691775169,-1.2536324794006448,0.05000000000000001,0.060554016917751675,True
5,0.3200000000000001,0.3300000000000001,0.05,0.060000000000000005,0.2559172845530091,1.6770509831248432,0.1420879042072643,0.1396790904783583,0.1396790904783583,-1.3007594136092693,0.05000000000000003,0.08967909047835827,True
5,0.3200000000000001,0.3300000000000001,0.060000000000000005,0.07,0.2586407252740856,1.6867127793433,0.14006218457198952,0.13764129359781044,0.13764129359781044,1.3024393441083695,0.05000000000000003,0.08764129359781041,True
5,0.3200000000000001,0.3300000000000001,0.07,0.08000000000000002,0.2619616429903904,1.6977926846349654,0.13758244874248962,0.13514770788669586,0.13514770788669586,1.3001516169938392,0.050000000000000044,0.08514770788669582,True
5,0.3200000000000001,0.3300000000000001,0.08000000000000002,0.09000000000000001,0.26594001422086644,1.7102631376487083,0.13459760662291767,0.1321472777008568,0.1321472777008568,-1.303574986536391,0.05000000000000001,0.08214727770085678,True
5,0.3200000000000001,0.3300000000000001,0.09000000000000001,0.1,0.2706518560941563,1.7240939649566678,0.13103738104383614,0.1285697635876403,0.1285697635876403,1.3029020168714007,0.05000000000000001,0.07856976358764028,True
