Omega_over_gamma,Delta_over_gamma,low_rank_winner,low_rank_min,best_high_k,best_high_gap,higher_rank_margin,global_winner_among_1_to_Kmax
0.215,0.08499999999999999,1,0.11429459690399804,3,0.29313543161512945,0.1788408347111314,1
0.215,0.08733333333333333,1,0.11389396329429338,3,0.29351019995922667,0.1796162366649333,1
0.215,0.08966666666666667,1,0.11348727154195518,3,0.29389524783197946,0.18040797629002428,1
0.215,0.092,1,0.11307478628797052,3,0.2942905810496129,0.1812157947616424,1
0.215,0.09433333333333332,1,0.11265676819925294,3,0.2946962049171944,0.18203943671794146,1
0.215,0.09666666666666666,1,0.11223347371543374,3,0.29511212416856514,0.1828786504531314,1
0.215,0.099,1,0.11180515482391434,3,0.29553834290377123,0.1837331880798569,1
0.215,0.10133333333333333,1,0.11137205886201049,3,0.2959748645239123,0.18460280566190182,1
0.215,0.10366666666666666,1,0.11093442834492379,3,0.29642169166337556,0.18548726331845178,1
0.215,0.106,1,0.11049250081825421,3,0.2968788261194084,0.1863863253011542,1
0.215,0.10833333333333334,1,0.11004650873372412,3,0.297346268778967,0.1872997600452429,1
0.215,0.11066666666666666,1,0.10959667934677972,3,0.29782401954281346,0.18822734019603374,1
0.215,0.113,1,0.10914323463472317,3,0.2983120772468163,0.18916884261209313,1
0.215,0.11533333333333333,1,0.10868639123404286,3,0.2988104395804359,0.19012404834639304,1
0.215,0.11766666666666666,1,0.10822636039562619,3,0.29931910300234665,0.19109274260672046,1
0.215,0.12,1,0.10776334795656217,3,0.2998380626532061,0.19207471469664394,1
0.22,0.05,1,0.12769914286227566,3,0.2902528715619788,0.16255372869970316,1
0.22,0.052333333333333336,1,0.12737770407050347,3,0.2904648684114215,0.16308716434091802,1
0.22,0.05466666666666667,1,0.12704474836934126,3,0.2906865802850497,0.1636418319157084,1
0.22,0.057,1,0.12670062792975312,3,0.290918012691468,0.16421738476171488,1
0.22,0.059333333333333335,1,0.12634569789661904,3,0.2911591711925248,0.1648134732959058,1
0.22,0.06166666666666667,1,0.12598031540767066,3,0.2914100613778075,0.16542974597013685,1
0.22,0.064,1,0.12560483865875316,3,0.2916706888377595,0.16606585017900632,1
0.22,0.06633333333333333,1,0.1252196260181272,3,0.29194105913538704,0.16672143311725984,1
0.22,0.06866666666666667,1,0.12482503519187263,3,0.29222117777647716,0.16739614258460453,1
0.22,0.07100000000000001,1,0.12442142244182627,3,0.2925110501783521,0.16808962773652583,1
0.22,0.07333333333333333,1,0.12400914185691217,3,0.2928106816370518,0.16880153978013965,1
0.22,0.07566666666666666,1,0.12358854467818134,3,0.29312007729296435,0.16953153261478301,1
0.22,0.078,1,0.12315997867740264,3,0.2934392420948065,0.17027926341740385,1
0.22,0.08033333333333334,1,0.12272378758861713,3,0.2937681807619709,0.1710443931733538,1
0.22,0.08266666666666667,1,0.12228031059168198,3,0.29410689774514415,0.17182658715346216,1
0.22,0.08499999999999999,1,0.12182988184650706,3,0.2944553971851953,0.17262551533868825,1
0.22,0.08733333333333333,1,0.1213728300764162,3,0.29481368287026344,0.17344085279384724,1
0.22,0.08966666666666667,1,0.12090947819881745,3,0.2951817581910207,0.17427227999220327,1
0.22,0.092,1,0.12044014300120187,3,0.29555962609406616,0.1751194830928643,1
0.22,0.09433333333333332,1,0.11996513486032559,3,0.2959472890333995,0.17598215417307392,1
0.22,0.09666666666666666,1,0.11948475750233772,3,0.2963447489199621,0.17685999141762437,1
0.22,0.099,1,0.11899930780153409,3,0.2967520070691606,0.17775269926762652,1
0.22,0.10133333333333333,1,0.11850907561538965,3,0.29716906414639505,0.1786599885310054,1
0.22,0.10366666666666666,1,0.11801434365348659,3,0.29759592011051583,0.17958157645702924,1
0.22,0.106,1,0.11751538737799033,3,0.2980325741551844,0.18051718677719408,1
0.22,0.10833333333333334,1,0.11701247493333722,3,0.29847902464813,0.18146654971479276,1
0.22,0.11066666666666666,1,0.11650586710285493,3,0.298935269068246,0.1824294019653911,1
0.22,0.113,1,0.11599581729010144,3,0.2994013039405314,0.18340548665042994,1
0.22,0.11533333333333333,1,0.11548257152277225,3,0.2998771247688395,0.18439455324606724,1
0.22,0.11766666666666666,1,0.11496636847712621,3,0.3003627259664333,0.1853963574893071,1
0.22,0.12,1,0.11444743952095404,3,0.3008581007843292,0.18641066126337513,1
0.225,0.05,1,0.13678986816184638,3,0.29179728644289776,0.15500741828105138,1
0.225,0.052333333333333336,1,0.1364106998044645,3,0.2920005107236517,0.1555898109191872,1
0.225,0.05466666666666667,1,0.1360185503153834,3,0.29221303549128186,0.15619448517589846,1
0.225,0.057,1,0.13561388607483377,3,0.2924348644160291,0.15682097834119535,1
0.225,0.059333333333333335,1,0.13519717447620772,3,0.29266600116412694,0.15746882668791923,1
0.225,0.06166666666666667,1,0.13476888256367392,3,0.2929064493756262,0.1581375668119523,1
0.225,0.064,1,0.13432947576076126,3,0.29315621264106084,0.15882673688029958,1
0.225,0.06633333333333333,1,0.13387941669196124,3,0.29341529447693093,0.1595358777849697,1
0.225,0.06866666666666667,1,0.1334191640982306,3,0.2936836982999518,0.16026453420172118,1
0.225,0.07100000000000001,1,0.13294917184622035,3,0.29396142740006553,0.16101225555384518,1
0.225,0.07333333333333333,1,0.13246988803012105,3,0.29424848491217975,0.1617785968820587,1
0.225,0.07566666666666666,1,0.1319817541642179,3,0.29454487378658994,0.16256311962237205,1
0.225,0.078,1,0.13148520446355214,3,0.29485059675807784,0.1633653922945257,1
0.225,0.08033333333333334,1,0.13098066520951085,3,0.29516565631364267,0.16418499110413182,1
0.225,0.08266666666666667,1,0.1304685541967193,3,0.2954900546588359,0.16502150046211658,1
0.225,0.08499999999999999,1,0.12994928025723795,3,0.29582379368266903,0.16587451342543108,1
0.225,0.08733333333333333,1,0.12942324285780876,3,0.29616687492108257,0.1667436320632738,1
0.225,0.08966666666666667,1,0.12889083176571453,3,0.29651929951891826,0.16762846775320372,1
0.225,0.092,1,0.12835242677870665,3,0.29688106819038257,0.16852864141167592,1
0.225,0.09433333333333332,1,0.12780839751443193,3,0.29725218117798474,0.1694437836635528,1
0.225,0.09666666666666666,1,0.12725910325479314,3,0.29763263820988906,0.1703735349550959,1
0.225,0.099,1,0.12670489284075528,3,0.29802243845570425,0.17131754561494897,1
0.225,0.10133333333333333,1,0.12614610461322065,3,0.2984215804806355,0.17227547586741485,1
0.225,0.10366666666666666,1,0.12558306639573127,3,0.298830062198004,0.17324699580227274,1
0.225,0.106,1,0.12501609551493378,3,0.29924788082012344,0.17423178530518965,1
0.225,0.10833333333333334,1,0.12444549885491615,3,0.2996750328074908,0.17522953395257465,1
0.225,0.11066666666666666,1,0.12387157294174708,3,0.30011151381628626,0.17623994087453917,1
0.225,0.113,1,0.12329460405474635,3,0.30055731864417157,0.17726271458942522,1
