Omega_over_gamma,Delta_over_gamma,gap1_over_gamma,gap2_over_gamma,low_rank_min,low_rank_winner,best_high_k,best_high_gap,higher_rank_margin,global_winner_among_1_to_Kmax
0.20375000000000001,0.06225,0.10175671992344593,0.2716132293965743,0.10175671992344593,1,3,0.2868924595482498,0.1851357396248039,1
0.20375000000000001,0.064,0.10157436539946021,0.2720937257486018,0.10157436539946021,1,3,0.2871203894038493,0.1855460240043891,1
0.20375000000000001,0.06575,0.10138802201181413,0.27258974588505086,0.10138802201181413,1,3,0.2873547363107073,0.18596671429889317,1
0.20375000000000001,0.0675,0.10119776437685615,0.27310148838050746,0.10119776437685615,1,3,0.2875955073784968,0.18639774300164066,1
0.20375000000000001,0.06925,0.10100366763868526,0.2736291595544032,0.10100366763868526,1,3,0.28784270977250775,0.1868390421338225,1
0.20375000000000001,0.07100000000000001,0.10080580739039141,0.27417297364305443,0.10080580739039141,1,3,0.2880963507011572,0.18729054331076578,1
0.20375000000000001,0.07275000000000001,0.10060425959707836,0.27473315296915013,0.10060425959707836,1,3,0.28835643740298766,0.1877521778059093,1
0.20375000000000001,0.0745,0.10039910052075998,0.27530992810693367,0.10039910052075998,1,3,0.2886229771330662,0.18822387661230625,1
0.20375000000000001,0.07625,0.10019040664724155,0.2759035380410128,0.10019040664724155,1,3,0.28889597714885745,0.1887055705016159,1
0.20375000000000001,0.078,0.0999782546150613,0.27651423031640304,0.0999782546150613,1,3,0.2891754446954608,0.1891971900803995,1
0.20375000000000001,0.07975,0.09976272114657372,0.277142261176983,0.09976272114657372,1,3,0.28946138699027557,0.18969866584370185,1
0.20375000000000001,0.0815,0.09954388298123215,0.2777878956890793,0.09954388298123215,1,3,0.2897538112070175,0.19020992822578534,1
0.20375000000000001,0.08324999999999999,0.09932181681113411,0.27845140784639444,0.09932181681113411,1,3,0.29005272445909663,0.19073090764796252,1
0.20375000000000001,0.08499999999999999,0.09909659921886646,0.27913308065185816,0.09909659921886646,1,3,0.2903581337823358,0.19126153456346937,1
