Omega_over_gamma,Delta_over_gamma,gap1_over_gamma,gap2_over_gamma,gap2_minus_gap1,winner_k
0.2647525,0.07715,0.2799497868185682,0.2796632230004695,-0.00028656381809871734,2
0.2647525,0.077165,0.2799687216250139,0.27966606456664905,-0.00030265705836485246,2
0.2647525,0.07718,0.2799876739451893,0.27966890670534456,-0.00031876723984475275,2
0.2647525,0.077195,0.2800066438150237,0.27967174941656636,-0.0003348943984573527,2
0.2647525,0.07721,0.2800256312705741,0.27967459270032397,-0.0003510385702501506,2
0.2647525,0.077225,0.28004463634802124,0.2796774365566266,-0.00036719979139465675,2
0.2647525,0.07723999999999999,0.2800636590836757,0.2796802809854861,-0.0003833780981896129,2
0.2647525,0.07725499999999999,0.2800826995139754,0.27968312598691003,-0.00039957352706537774,2
0.2647525,0.07726999999999999,0.28010175767548534,0.2796859715609115,-0.00041578611457382397,2
0.2647525,0.07728499999999999,0.2801208336049034,0.27968881770749787,-0.0004320158974055466,2
0.2647525,0.0773,0.280139927339054,0.2796916644266809,-0.00044826291237309857,2
0.2647525,0.077315,0.28015903891489347,0.27969451171846943,-0.00046452719642403606,2
0.2647525,0.07733,0.28017816836950843,0.2796973595828739,-0.0004808087866345345,2
0.2647525,0.077345,0.2801973157401185,0.27970020801990514,-0.0004971077202133856,2
0.2647525,0.07736,0.28021648106407593,0.2797030570295717,-0.0005134240345042174,2
0.2647525,0.077375,0.280235664378864,0.27970590661188577,-0.0005297577669782227,2
0.2647525,0.07739,0.2802548657221031,0.2797087567668547,-0.0005461089552484255,2
0.2647525,0.077405,0.2802740851315456,0.27971160749448964,-0.0005624776370559692,2
0.2647525,0.07741999999999999,0.28029332264507995,0.27971445879480183,-0.0005788638502781107,2
0.2647525,0.07743499999999999,0.28031257830072864,0.2797173106677997,-0.0005952676329289419,2
0.2647525,0.07744999999999999,0.28033185213665407,0.2797201631134934,-0.0006116890231606664,2
0.2647525,0.07746499999999999,0.2803511441911533,0.27972301613189454,-0.0006281280592587701,2
0.2647525,0.07748,0.2803704545026626,0.27972586972301094,-0.0006445847796516802,2
0.2647525,0.077495,0.28038978310975493,0.27972872388685466,-0.0006610592229002732,2
0.2647525,0.07751,0.2804091300511451,0.2797315786234348,-0.0006775514277103101,2
0.2647525,0.077525,0.2804284953656863,0.279734433932761,-0.0006940614329253303,2
0.2647525,0.07754,0.2804478790923728,0.27973728981484386,-0.000710589277528928,2
0.2647525,0.077555,0.2804672812703393,0.27974014626969307,-0.0007271350006462507,2
0.2647525,0.07757,0.2804867019388648,0.2797430032973189,-0.0007436986415459423,2
0.2647525,0.077585,0.2805061411373682,0.2797458608977319,-0.0007602802396363129,2
0.2647525,0.0776,0.2805255989054156,0.27974871907094057,-0.0007768798344750527,2
0.2647525,0.07761499999999999,0.280545075282714,0.2797515778169567,-0.000793497465757298,2
0.2647525,0.07762999999999999,0.28056457030911747,0.27975443713578896,-0.0008101331733285089,2
0.2647525,0.07764499999999999,0.28058408402462526,0.2797572970274485,-0.0008267869971767539,2
0.2647525,0.07765999999999999,0.2806036164693834,0.27976015749194383,-0.0008434589774395929,2
0.2647525,0.077675,0.28062316768368295,0.279763018529287,-0.0008601491543959727,2
0.2647525,0.07769,0.2806427377079666,0.27976588013948694,-0.0008768575684796609,2
0.2647525,0.077705,0.28066232658282353,0.27976874232255367,-0.000893584260269864,2
0.2647525,0.07772,0.28068193434899363,0.2797716050784976,-0.0009103292704960575,2
0.2647525,0.077735,0.280701561047366,0.27977446840732734,-0.0009270926400386514,2
0.2647525,0.07775,0.280721206718981,0.2797773323090551,-0.0009438744099258822,2
0.2647525,0.077765,0.28074087140503245,0.2797801967836895,-0.0009606746213429718,2
0.2647525,0.07778,0.28076055514686404,0.2797830618312408,-0.0009774933156232457,2
0.2647525,0.07779499999999999,0.2807802579859767,0.2797859274517198,-0.0009943305342569042,2
0.2647525,0.07780999999999999,0.2807999799640211,0.2797887936451352,-0.001011186318885915,2
0.2647525,0.07782499999999999,0.28081972112280557,0.2797916604114978,-0.0010280607113077878,2
0.2647525,0.07783999999999999,0.2808394815042946,0.2797945277508181,-0.0010449537534765185,2
0.2647525,0.077855,0.2808592611506077,0.27979739566310513,-0.001061865487502589,2
