Omega_over_gamma,Delta_over_gamma,alpha_over_gamma,y,sigma_min_Mk,abs_det_Mk,diff_norm_from_center
0.2647,0.08520000000000001,0.25571628711106636,0.5986,0.04397671459812021,0.13641794761370415,0.025687001242933164
0.2647,0.08520000000000001,0.25571628711106636,0.5991,0.04400768214856724,0.13666522734112532,0.025769642912663423
0.2647,0.08520000000000001,0.25571628711106636,0.5995999999999999,0.044042613944376106,0.13692519373905235,0.02586302637089269
0.2647,0.08520000000000001,0.25571628711106636,0.6001,0.04408150318818093,0.13719786699373998,0.025966572261469076
0.2647,0.08520000000000001,0.25571628711106636,0.6006,0.044124342034154634,0.13748326401201014,0.02607994123580885
0.2647,0.08520000000000001,0.25571628711106636,0.6011,0.044171121599664916,0.13778139843937093,0.026202861506111907
0.2647,0.0855,0.2546571425122683,0.5951,0.04478623942046694,0.13812339804345292,0.027296202590554736
0.2647,0.0855,0.2546571425122683,0.5955999999999999,0.04478934893685796,0.1382859630448558,0.027171894537551512
0.2647,0.0855,0.2546571425122683,0.5961,0.044796358869102916,0.1384607564788592,0.027056831274118415
0.2647,0.0855,0.2546571425122683,0.5966,0.04480727001628207,0.13864782097529504,0.026951289227119618
0.2647,0.0855,0.2546571425122683,0.5971,0.04482208215174112,0.13884719607683157,0.026855606142129326
0.2647,0.0855,0.2546571425122683,0.5975999999999999,0.04484079402455588,0.13905891822603042,0.02677031663755257
0.2647,0.0855,0.2546571425122683,0.5981,0.04486340336233142,0.13928302075651988,0.026707305160085102
0.2647,0.0855,0.2546571425122683,0.5986,0.044889906875323786,0.1395195338882884,0.026776757138826993
0.2647,0.0855,0.2546571425122683,0.5991,0.0449203002618735,0.13976848472709025,0.026863107174450934
0.2647,0.0855,0.2546571425122683,0.5995999999999999,0.04495457821513226,0.14002989726794102,0.02695977439788793
0.2647,0.0855,0.2546571425122683,0.6001,0.04499273443106146,0.14030379240266821,0.02706624876323535
0.2647,0.0855,0.2546571425122683,0.6006,0.045034761617680004,0.14059018793147413,0.02718219726197932
0.2647,0.0855,0.2546571425122683,0.6011,0.04508065150553122,0.14088909857845017,0.027307347241758057
0.26495,0.0825,0.27527912215003403,0.5951,0.027310500920805118,0.0812495871576237,0.00884545097528167
0.26495,0.0825,0.27527912215003403,0.5955999999999999,0.027303974709818966,0.08132191719486138,0.00847208747977082
0.26495,0.0825,0.27527912215003403,0.5961,0.027303832722914003,0.08141333036102767,0.008112206413381921
0.26495,0.0825,0.27527912215003403,0.5966,0.027310079385287876,0.08152390433467,0.0077677004195081095
0.26495,0.0825,0.27527912215003403,0.5971,0.027322714628177733,0.08165370355140916,0.007440736465101933
0.26495,0.0825,0.27527912215003403,0.5975999999999999,0.027341733894187852,0.08180277914434286,0.007133784615684211
0.26495,0.0825,0.27527912215003403,0.5981,0.027367128158316174,0.08197116893135539,0.006858211259987
0.26495,0.0825,0.27527912215003403,0.5986,0.027398883964500128,0.08215889744916433,0.0071425578274101585
0.26495,0.0825,0.27527912215003403,0.5991,0.027436983477376813,0.08236597603356159,0.007450557461815034
0.26495,0.0825,0.27527912215003403,0.5995999999999999,0.027481404548831023,0.08259240294492944,0.007778454044411777
0.26495,0.0825,0.27527912215003403,0.6001,0.027532120798795606,0.08283816353776347,0.008123781611347698
0.26495,0.0825,0.27527912215003403,0.6006,0.027589101709650846,0.08310323047259663,0.008484381086954328
0.26495,0.0825,0.27527912215003403,0.6011,0.02765231273348252,0.08338756396840862,0.008858369220619135
0.26495,0.0828,0.27216521198267973,0.5951,0.0299447852452623,0.08957336150056192,0.010852518186615936
0.26495,0.0828,0.27216521198267973,0.5955999999999999,0.029939180683051587,0.08965744639387668,0.010572415207500982
0.26495,0.0828,0.27216521198267973,0.5961,0.029939400647084453,0.0897590554117971,0.010308974284474241
0.26495,0.0828,0.27216521198267973,0.5966,0.029945448951664195,0.0898782589777921,0.010063567003432718
0.26495,0.0828,0.27216521198267973,0.5971,0.02995732599807383,0.09001511742820734,0.00983764966878537
0.26495,0.0828,0.27216521198267973,0.5975999999999999,0.029975028777270013,0.0901696809628918,0.009632798218536895
0.26495,0.0828,0.27216521198267973,0.5981,0.02999855088250702,0.09034198962561671,0.009457486290969262
0.26495,0.0828,0.27216521198267973,0.5986,0.030027882531802264,0.09053207331424719,0.009635917387677162
0.26495,0.0828,0.27216521198267973,0.5991,0.030063010600084598,0.09073995182042817,0.009841475661821529
0.26495,0.0828,0.27216521198267973,0.5995999999999999,0.03010391866080357,0.09096563489834597,0.010068104848418268
0.26495,0.0828,0.27216521198267973,0.6001,0.030150587036718156,0.09120912236193703,0.010314205485990388
